round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,filters,ker_size,loss,lr,lstm_out_size,optimizer,pool_size,strides,weight_regulizer
100,0.6791482592519388,0.58921164,0.697859525680542,0.5410628,256,0.2,100,8,8,binary_crossentropy,0.1,24,adam,1,1,None
100,0.5053512965989805,0.746888,0.6283553838729858,0.68599033,256,0.12,100,16,24,binary_crossentropy,1.09,8,adam,2,1,None
100,0.6048933292325601,0.6991701,0.6844435351482336,0.5845411,128,0.32,100,8,8,binary_crossentropy,3.0700000000000003,8,adam,1,1,None
100,0.564852562435435,0.719917,0.6236601278977694,0.6376812,128,0.32,100,8,16,binary_crossentropy,4.0600000000000005,16,nadam,2,2,None
100,0.3010347306233719,0.87759334,0.7579761878879749,0.69082123,16,0.12,100,16,16,binary_crossentropy,0.1,16,nadam,2,2,None
100,0.4187026430709728,0.8153527,0.602804734511076,0.6714976,128,0.28,100,16,24,binary_crossentropy,1.09,24,nadam,1,2,None
100,0.5214126701176909,0.7427386,0.6210411787033081,0.6666667,256,0.36,100,24,16,binary_crossentropy,1.09,24,nadam,2,1,None
100,0.6439327911717269,0.6929461,0.691173255443573,0.5797101,256,0.12,100,24,24,binary_crossentropy,6.04,8,nadam,2,1,None
100,0.1962031367161462,0.92116183,0.9274261809777522,0.68599033,16,0.0,100,24,8,binary_crossentropy,8.020000000000001,24,nadam,2,1,None
100,0.43746499673954187,0.80912864,0.6198810935020447,0.68599033,256,0.0,100,24,8,binary_crossentropy,7.03,16,adam,2,2,None
100,0.549981554514145,0.7302905,0.6662314056198378,0.6231884,128,0.36,100,8,16,binary_crossentropy,8.020000000000001,24,nadam,1,2,None
100,0.33350318274557345,0.8381743,0.6852671807802818,0.68599033,16,0.08,100,8,16,binary_crossentropy,9.01,8,adam,2,2,None
100,0.37097301621654716,0.83609957,0.6624868869205603,0.68599033,16,0.28,100,24,16,binary_crossentropy,5.05,8,nadam,1,1,None
100,0.41111597962893887,0.8340249,0.5747882001065977,0.7004831,128,0.04,100,8,24,binary_crossentropy,6.04,8,nadam,2,2,None
100,0.4203525721037536,0.82365143,0.7722753827698565,0.6135266,64,0.0,100,16,16,binary_crossentropy,5.05,8,nadam,1,1,None
100,0.5412508721668196,0.72821575,0.6921302080154419,0.6231884,256,0.16,100,16,16,binary_crossentropy,7.03,16,nadam,1,2,None
100,0.46949368566892946,0.7842324,0.6552271246910095,0.6425121,256,0.36,100,16,24,binary_crossentropy,8.020000000000001,24,nadam,2,1,None
100,0.500126369019267,0.74896264,0.6504927957115542,0.6328502,128,0.28,100,16,16,binary_crossentropy,7.03,16,nadam,1,1,None
100,0.26237495076606876,0.89626557,0.7940930202963271,0.69082123,16,0.12,100,16,24,binary_crossentropy,9.01,24,adam,2,2,None
100,0.29121841533550086,0.8858921,0.7157620804897253,0.68115944,128,0.0,100,24,24,binary_crossentropy,3.0700000000000003,24,nadam,2,1,None
100,0.3811268836136181,0.8340249,0.6537118257531798,0.65700483,64,0.32,100,16,8,binary_crossentropy,3.0700000000000003,24,adam,2,1,None
100,0.32827299808565513,0.85684645,0.6276569455718073,0.6714976,64,0.12,100,16,16,binary_crossentropy,2.08,16,nadam,2,2,None
100,0.32320641491299346,0.8672199,0.7509243610688454,0.6763285,16,0.2,100,24,16,binary_crossentropy,3.0700000000000003,24,nadam,1,2,None
100,0.3804556711333421,0.84232366,0.6416296095087908,0.6956522,128,0.12,100,24,24,binary_crossentropy,3.0700000000000003,24,nadam,1,1,None
100,0.423149021458329,0.82572615,0.5803855245815959,0.7004831,128,0.16,100,16,16,binary_crossentropy,1.09,8,adam,2,2,None
100,0.4781281582052777,0.7593361,0.6098364758606695,0.6763285,128,0.36,100,8,24,binary_crossentropy,9.01,24,nadam,2,1,None
100,0.4214421764201643,0.8008299,0.6447523302502103,0.6376812,128,0.0,100,24,16,binary_crossentropy,0.1,24,nadam,2,1,None
100,0.5802516917470085,0.6846473,0.7108337879180908,0.5748792,256,0.36,100,24,8,binary_crossentropy,6.04,16,adam,2,1,None
100,0.32882859214707527,0.8547718,0.7074099617879748,0.6763285,64,0.0,100,16,8,binary_crossentropy,8.020000000000001,24,nadam,1,2,None
100,0.3701974462825975,0.8319502,0.7121322091650848,0.6714976,16,0.36,100,16,8,binary_crossentropy,4.0600000000000005,24,adam,1,2,None
100,0.3453481558447557,0.84024894,0.6142555362936379,0.705314,64,0.28,100,24,16,binary_crossentropy,6.04,24,nadam,2,2,None
100,0.30503793920224137,0.87759334,0.6927487323249596,0.6763285,16,0.0,100,16,8,binary_crossentropy,8.020000000000001,16,adam,1,1,None
100,0.4198031895388211,0.81950206,0.6403705791574745,0.6666667,64,0.28,100,16,24,binary_crossentropy,9.01,8,adam,1,2,None
100,0.5589802245381462,0.73443985,0.6326237320899963,0.6135266,256,0.12,100,16,16,binary_crossentropy,5.05,16,nadam,2,1,None
100,0.3457606343312877,0.8526971,0.6753595413793112,0.6956522,16,0.2,100,16,8,binary_crossentropy,7.03,16,adam,1,2,None
100,0.4489442588630059,0.80912864,0.54932117059035,0.7487923,128,0.32,100,16,24,binary_crossentropy,8.020000000000001,8,nadam,2,2,None
100,0.5861015114546811,0.6929461,0.6644047498703003,0.5942029,256,0.36,100,8,8,binary_crossentropy,0.1,24,adam,2,1,None
100,0.3360383367142737,0.8609958,0.6310128051301708,0.705314,16,0.16,100,16,8,binary_crossentropy,8.020000000000001,8,adam,2,2,None
100,0.273393057812299,0.8983402,0.7403432605923086,0.6714976,64,0.0,100,16,24,binary_crossentropy,8.020000000000001,24,adam,2,2,None
100,0.5927157236332715,0.6929461,0.6721276044845581,0.6038647,256,0.2,100,8,8,binary_crossentropy,6.04,16,nadam,1,2,None
100,0.3958676468534588,0.82572615,0.6274111164364837,0.69082123,128,0.2,100,24,16,binary_crossentropy,1.09,16,nadam,1,1,None
100,0.46297274882368034,0.7738589,0.6466306226265027,0.66183573,128,0.2,100,24,16,binary_crossentropy,4.0600000000000005,8,nadam,1,1,None
100,0.3829635923334177,0.8381743,0.7149284939835037,0.66183573,64,0.32,100,24,8,binary_crossentropy,2.08,24,nadam,1,1,None
100,0.31233015896064614,0.88381743,0.7238917081540334,0.6666667,16,0.16,100,16,24,binary_crossentropy,1.09,8,adam,2,1,None
100,0.3348141587126799,0.8713693,0.7282670098514372,0.69082123,16,0.28,100,16,16,binary_crossentropy,1.09,16,nadam,2,2,None
100,0.4779683098011492,0.7738589,0.6752901673316956,0.6038647,256,0.0,100,24,8,binary_crossentropy,5.05,16,adam,2,1,None
100,0.4220535063891985,0.8112033,0.7069590995853073,0.6666667,64,0.32,100,8,8,binary_crossentropy,3.0700000000000003,24,adam,2,1,None
100,0.28622686232274,0.8921162,0.7143714353082261,0.6956522,16,0.16,100,16,16,binary_crossentropy,1.09,8,nadam,2,2,None
100,0.3402563676670874,0.8651452,0.727747734906017,0.65217394,16,0.16,100,8,24,binary_crossentropy,2.08,24,nadam,1,2,None
100,0.40794139763502657,0.8298755,0.6465184844058492,0.705314,16,0.36,100,8,16,binary_crossentropy,2.08,8,adam,2,1,None
100,0.5772517239404417,0.7033195,0.6729114651679993,0.6231884,256,0.36,100,24,8,binary_crossentropy,0.1,24,nadam,2,2,None
100,0.39144530100941166,0.8547718,0.6127063842211369,0.68599033,128,0.04,100,8,24,binary_crossentropy,4.0600000000000005,8,adam,2,1,None
100,0.6303234938763979,0.6784232,0.6822481751441956,0.57004833,256,0.12,100,16,8,binary_crossentropy,2.08,8,adam,1,1,None
100,0.5202812545032423,0.7614108,0.6510570175981752,0.6376812,128,0.28,100,8,16,binary_crossentropy,8.020000000000001,24,nadam,1,1,None
100,0.34682307933376044,0.8609958,0.6879302890980301,0.66183573,64,0.0,100,16,8,binary_crossentropy,4.0600000000000005,8,adam,2,2,None
100,0.4319402357849343,0.80290455,0.5840143189913984,0.6956522,128,0.0,100,24,8,binary_crossentropy,6.04,8,nadam,1,2,None
100,0.37570488811528535,0.86307055,0.6415745739775579,0.6763285,64,0.12,100,16,16,binary_crossentropy,6.04,8,nadam,2,2,None
100,0.4549705729939631,0.7946058,0.6818661093711853,0.6425121,256,0.04,100,24,24,binary_crossentropy,8.020000000000001,24,nadam,1,2,None
100,0.4734359358850851,0.79875517,0.6013143062591553,0.6714976,256,0.2,100,16,16,binary_crossentropy,6.04,8,adam,2,2,None
