round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,filters,ker_size,loss,lr,lstm_out_size,optimizer,pool_size,strides,weight_regulizer
100,0.4549131658067347,0.7738589,0.7664445969793532,0.647343,64,0.0,100,24,24,binary_crossentropy,8.020000000000001,16,adam,1,2,None
100,0.4282293267764491,0.8174274,0.7394350136535756,0.6956522,64,0.08,100,24,24,binary_crossentropy,5.05,16,adam,2,2,None
100,0.4827149772545114,0.7697095,0.8897235658433702,0.6038647,16,0.08,100,8,8,binary_crossentropy,9.01,24,nadam,1,1,None
100,0.5226848973772833,0.74896264,0.6775541106859843,0.6135266,128,0.0,100,24,8,binary_crossentropy,1.09,8,adam,2,1,None
100,0.4508154885650176,0.813278,0.7300729175696626,0.65700483,64,0.24,100,16,8,binary_crossentropy,1.09,16,nadam,1,2,None
100,0.5162471053016631,0.7385892,0.9133541869080585,0.5652174,16,0.32,100,16,8,binary_crossentropy,3.0700000000000003,24,adam,1,2,None
100,0.5070894543560709,0.746888,0.7320305558218472,0.6376812,128,0.08,100,16,24,binary_crossentropy,7.03,24,nadam,2,1,None
100,0.5076146984001413,0.75518674,0.7215818166732788,0.6038647,256,0.24,100,24,8,binary_crossentropy,8.020000000000001,16,adam,2,2,None
100,0.5333772984283099,0.7302905,0.7592983150827712,0.6038647,64,0.24,100,24,24,binary_crossentropy,7.03,8,nadam,2,1,None
100,0.5614414294230987,0.6721992,0.7573555595632913,0.6086956,128,0.24,100,16,16,binary_crossentropy,3.0700000000000003,16,nadam,2,1,None
100,0.40995164085720587,0.8112033,0.7168818067237375,0.69082123,64,0.12,100,24,24,binary_crossentropy,5.05,24,nadam,2,1,None
100,0.47855526196511455,0.8008299,0.681719958782196,0.6425121,256,0.24,100,24,24,binary_crossentropy,7.03,8,adam,1,2,None
100,0.45753859608005193,0.77178425,0.894276798059399,0.5555556,64,0.28,100,16,16,binary_crossentropy,6.04,24,nadam,2,2,None
100,0.5347257765991559,0.719917,0.6876408630523129,0.6135266,64,0.16,100,8,16,binary_crossentropy,0.1,8,adam,1,2,None
100,0.5309836701238798,0.746888,0.6839783191680908,0.5942029,256,0.32,100,16,8,binary_crossentropy,6.04,8,adam,2,1,None
100,0.4421137665626419,0.78215766,0.8568903890208922,0.66183573,16,0.28,100,16,24,binary_crossentropy,1.09,24,adam,1,1,None
100,0.5573549191486786,0.6929461,0.7826929688453674,0.5555556,256,0.32,100,16,24,binary_crossentropy,6.04,16,nadam,1,1,None
100,0.4130833621341658,0.81950206,0.6680053907316088,0.7198068,64,0.12,100,24,24,binary_crossentropy,2.08,8,nadam,1,2,None
100,0.4221069914176751,0.8008299,0.8520161117908459,0.5748792,64,0.04,100,16,16,binary_crossentropy,0.1,24,nadam,2,1,None
100,0.6237845413417737,0.62240666,0.7232381701469421,0.531401,256,0.28,100,8,16,binary_crossentropy,0.1,24,nadam,2,1,None
100,0.42112154683631486,0.80290455,0.7923883407012277,0.6425121,64,0.2,100,16,24,binary_crossentropy,8.020000000000001,24,adam,1,2,None
100,0.5719837984108826,0.6929461,0.7467321753501892,0.5797101,256,0.36,100,16,8,binary_crossentropy,3.0700000000000003,16,nadam,1,1,None
100,0.4846996286597984,0.780083,0.6390569688041429,0.68115944,128,0.24,100,16,24,binary_crossentropy,4.0600000000000005,8,adam,2,1,None
100,0.4637454629439041,0.7842324,0.7611198242447802,0.6328502,64,0.28,100,24,24,binary_crossentropy,7.03,16,nadam,2,2,None
100,0.51909029805314,0.75518674,0.7203863859176636,0.6425121,256,0.2,100,8,24,binary_crossentropy,5.05,24,adam,2,2,None
100,0.4754172338489675,0.7572614,0.7296846016593601,0.6763285,16,0.36,100,8,24,binary_crossentropy,4.0600000000000005,8,nadam,1,2,None
100,0.6257692179739228,0.6618257,0.7028037309646606,0.5458937,256,0.32,100,8,8,binary_crossentropy,0.1,8,nadam,1,1,None
100,0.5312147560950632,0.76556015,0.6646085977554321,0.65217394,256,0.08,100,24,16,binary_crossentropy,8.020000000000001,8,adam,2,1,None
100,0.4860363853670255,0.78215766,0.671855254161761,0.62801933,128,0.0,100,8,16,binary_crossentropy,2.08,8,adam,1,1,None
100,0.4721468834214191,0.7593361,0.8658451178799504,0.6183575,16,0.36,100,8,24,binary_crossentropy,7.03,24,adam,1,2,None
100,0.4812734181455557,0.753112,0.7776271064500302,0.647343,16,0.0,100,8,24,binary_crossentropy,4.0600000000000005,16,adam,2,2,None
100,0.5565166436290345,0.69709545,0.7429074048995972,0.5458937,256,0.28,100,8,16,binary_crossentropy,3.0700000000000003,24,nadam,1,2,None
100,0.4728509718204435,0.77178425,0.7210450454610557,0.65217394,16,0.0,100,8,8,binary_crossentropy,6.04,8,adam,2,2,None
100,0.450472979130092,0.79253113,0.7264710995886061,0.6714976,128,0.08,100,24,24,binary_crossentropy,6.04,24,nadam,2,1,None
100,0.48618205961350086,0.74896264,0.8466802757719288,0.5942029,64,0.16,100,8,24,binary_crossentropy,1.09,16,nadam,1,1,None
100,0.3931366651013679,0.8319502,0.7363165640024747,0.6763285,16,0.0,100,16,8,binary_crossentropy,9.01,8,nadam,2,2,None
100,0.4547565447097003,0.780083,0.7402458786964417,0.65217394,256,0.04,100,24,24,binary_crossentropy,0.1,24,adam,1,2,None
100,0.4963798667632693,0.753112,0.7771472061313869,0.5797101,16,0.32,100,16,8,binary_crossentropy,1.09,8,nadam,2,1,None
100,0.4716127712696914,0.78630704,0.6759874699772268,0.6666667,128,0.32,100,24,24,binary_crossentropy,1.09,8,nadam,2,2,None
100,0.46011390577213396,0.79875517,0.7662401323157232,0.7004831,64,0.2,100,24,24,binary_crossentropy,4.0600000000000005,16,adam,1,1,None
100,0.4732625217358601,0.75518674,0.6905732900624114,0.65700483,64,0.2,100,8,16,binary_crossentropy,8.020000000000001,16,nadam,1,1,None
100,0.4830491577441267,0.75103736,0.749089359085341,0.6714976,16,0.08,100,16,8,binary_crossentropy,8.020000000000001,24,adam,1,2,None
100,0.4347340693674147,0.78630704,0.668679608527013,0.68115944,16,0.32,100,16,24,binary_crossentropy,5.05,8,nadam,1,2,None
100,0.43703438174675113,0.8153527,0.6884792985547568,0.705314,64,0.08,100,24,16,binary_crossentropy,9.01,8,nadam,1,1,None
100,0.4357971414243532,0.7842324,0.7418896103826698,0.6763285,64,0.0,100,24,16,binary_crossentropy,6.04,16,adam,2,1,None
100,0.5695080227871654,0.7365145,0.6773117780685425,0.589372,256,0.04,100,24,8,binary_crossentropy,6.04,8,adam,2,2,None
100,0.4929632454244922,0.77178425,0.7113146960447376,0.6425121,64,0.24,100,24,8,binary_crossentropy,8.020000000000001,8,adam,2,1,None
100,0.49694317851323805,0.7614108,0.7097337401431539,0.6231884,128,0.2,100,24,24,binary_crossentropy,3.0700000000000003,8,adam,2,1,None
100,0.4971551700993692,0.7572614,0.6523728888967762,0.6714976,128,0.12,100,16,16,binary_crossentropy,5.05,8,nadam,2,2,None
100,0.4768218474764052,0.7634855,0.8397744119455273,0.6376812,16,0.2,100,16,8,binary_crossentropy,5.05,24,adam,2,1,None
100,0.41334626771107746,0.8070539,0.8335660362013296,0.65217394,16,0.0,100,24,24,binary_crossentropy,6.04,24,adam,2,1,None
100,0.48398587120024494,0.7406639,0.8064781968720294,0.59903383,128,0.2,100,16,24,binary_crossentropy,2.08,24,adam,1,1,None
100,0.46261125704064904,0.77178425,0.7475578260882465,0.62801933,64,0.36,100,16,24,binary_crossentropy,7.03,24,nadam,1,2,None
100,0.5650574339870595,0.73236513,0.6515247225761414,0.65217394,256,0.2,100,8,8,binary_crossentropy,7.03,8,nadam,2,1,None
100,0.5498968234200695,0.72821575,0.6973323784588615,0.5942029,128,0.08,100,8,8,binary_crossentropy,8.020000000000001,24,nadam,2,1,None
100,0.6242779958297603,0.6680498,0.6986037253757605,0.5458937,128,0.36,100,8,8,binary_crossentropy,6.04,8,nadam,1,2,None
100,0.5213103648043272,0.7406639,0.6542479991912842,0.6666667,256,0.08,100,16,24,binary_crossentropy,2.08,24,nadam,1,1,None
100,0.4263373542870723,0.80912864,0.8391790018565413,0.6231884,16,0.0,100,16,16,binary_crossentropy,8.020000000000001,16,adam,2,2,None
