,phase,contractive,test id
simple_dense,"[0.20408164, 0.49382716, 0.33766234, 0.60674155, 0.3809524, 0.5338983, 0.61764705, 0.63461536, 0.49, 0.39726028, 0.31958762, 0.60493827, 0.4556962, 0.5217391, 0.5140187, 0.559633, 0.8604651, 0.7413793, 0.6388889, 0.5263158, 0.65625, 0.53488374, 0.46067417]","[0.26530612, 0.43209878, 0.42857143, 0.42696628, 0.5119048, 0.5169492, 0.5294118, 0.65384614, 0.45, 0.5068493, 0.44329897, 0.6666667, 0.5063291, 0.6195652, 0.5046729, 0.6513761, 0.37209302, 0.39655173, 0.6111111, 0.5701754, 0.6145833, 0.55813956, 0.46067417]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
LSTM,"[0.59183675, 0.50617284, 0.38961038, 0.5505618, 0.47619048, 0.55932206, 0.5441176, 0.5, 0.38, 0.6712329, 0.39175257, 0.67901236, 0.79746836, 0.5652174, 0.34579438, 0.51376146, 0.60465115, 0.70689654, 0.4722222, 0.48245615, 0.5, 0.5116279, 0.5280899]","[0.3877551, 0.44444445, 0.36363637, 0.5955056, 0.63095236, 0.45762712, 0.61764705, 0.5, 0.26, 0.56164384, 0.62886596, 0.54320985, 0.7848101, 0.25, 0.46728972, 0.58715594, 0.7906977, 0.51724136, 0.5694444, 0.54385966, 0.7395833, 0.55813956, 0.5168539]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
kNN,"[0.32653061224489793, 0.6419753086419753, 0.4675324675324675, 0.5617977528089888, 0.44047619047619047, 0.4830508474576271, 0.4852941176470588, 0.6346153846153846, 0.6, 0.6301369863013698, 0.4742268041237113, 0.5308641975308642, 0.5443037974683544, 0.6956521739130435, 0.40186915887850466, 0.3853211009174312, 0.46511627906976744, 0.4827586206896552, 0.5833333333333334, 0.5701754385964912, 0.53125, 0.7558139534883721, 0.651685393258427]","[0.4489795918367347, 0.5555555555555556, 0.37662337662337664, 0.6179775280898876, 0.5833333333333334, 0.3983050847457627, 0.5, 0.5961538461538461, 0.45, 0.4383561643835616, 0.5567010309278351, 0.5925925925925926, 0.7848101265822784, 0.4782608695652174, 0.6074766355140186, 0.6330275229357798, 0.6744186046511628, 0.6206896551724138, 0.5138888888888888, 0.45614035087719296, 0.65625, 0.5813953488372093, 0.5842696629213483]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
SVC,"[0.2653061224489796, 0.49382716049382713, 0.4025974025974026, 0.6179775280898876, 0.5595238095238095, 0.4322033898305085, 0.6029411764705882, 0.5961538461538461, 0.49000000000000005, 0.4931506849315069, 0.5876288659793815, 0.7530864197530864, 0.7468354430379747, 0.6195652173913043, 0.5046728971962616, 0.5321100917431193, 0.8372093023255814, 0.6724137931034483, 0.5277777777777778, 0.4385964912280701, 0.625, 0.37209302325581395, 0.5842696629213483]","[0.40816326530612246, 0.43209876543209874, 0.4415584415584416, 0.6292134831460674, 0.6190476190476191, 0.5847457627118644, 0.5588235294117647, 0.4807692307692307, 0.44000000000000006, 0.4657534246575342, 0.6907216494845361, 0.691358024691358, 0.6708860759493671, 0.6195652173913043, 0.4672897196261682, 0.5596330275229358, 0.7209302325581395, 0.7586206896551724, 0.5833333333333334, 0.5175438596491229, 0.6354166666666666, 0.4767441860465117, 0.5617977528089888]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
random_forest,"[0.22448979591836732, 0.4691358024691358, 0.2727272727272727, 0.5730337078651685, 0.34523809523809523, 0.3474576271186441, 0.5, 0.5, 0.51, 0.410958904109589, 0.422680412371134, 0.6296296296296297, 0.620253164556962, 0.22826086956521738, 0.616822429906542, 0.5412844036697247, 0.4418604651162791, 0.8275862068965518, 0.5277777777777778, 0.4385964912280701, 0.5625, 0.5465116279069767, 0.5393258426966292]","[0.30612244897959184, 0.4691358024691358, 0.36363636363636365, 0.4382022471910113, 0.5595238095238095, 0.3898305084745763, 0.5735294117647058, 0.5192307692307693, 0.48, 0.5616438356164384, 0.5360824742268041, 0.654320987654321, 0.7848101265822784, 0.31521739130434784, 0.5794392523364486, 0.6055045871559633, 0.4418604651162791, 0.6896551724137931, 0.5694444444444444, 0.6403508771929824, 0.7083333333333334, 0.27906976744186046, 0.42696629213483145]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
naive_bayesian,"[0.2857142857142857, 0.5185185185185185, 0.4675324675324675, 0.3258426966292135, 0.4166666666666667, 0.4152542372881356, 0.36764705882352944, 0.4423076923076923, 0.49, 0.136986301369863, 0.5876288659793815, 0.7407407407407407, 0.4177215189873418, 0.5869565217391305, 0.5327102803738317, 0.5504587155963303, 0.7906976744186046, 0.5862068965517241, 0.4583333333333333, 0.5087719298245614, 0.4895833333333333, 0.27906976744186046, 0.4943820224719101]","[0.4897959183673469, 0.5185185185185185, 0.4155844155844156, 0.449438202247191, 0.4523809523809524, 0.4152542372881356, 0.6029411764705882, 0.4807692307692308, 0.59, 0.4383561643835616, 0.5360824742268041, 0.7283950617283951, 0.5063291139240507, 0.6521739130434783, 0.4766355140186916, 0.5504587155963303, 0.7906976744186046, 0.7931034482758621, 0.4583333333333333, 0.49122807017543857, 0.65625, 0.5, 0.5955056179775281]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
XGBoost,"[0.24489795918367346, 0.5185185185185185, 0.4155844155844156, 0.550561797752809, 0.35714285714285715, 0.42372881355932196, 0.47058823529411764, 0.5384615384615384, 0.4699999999999999, 0.45205479452054786, 0.4020618556701031, 0.6172839506172839, 0.6455696202531646, 0.31521739130434784, 0.6261682242990654, 0.5321100917431193, 0.5581395348837209, 0.6551724137931034, 0.5694444444444444, 0.4649122807017544, 0.5104166666666666, 0.5116279069767442, 0.6067415730337079]","[0.3877551020408163, 0.49382716049382713, 0.4415584415584416, 0.4382022471910113, 0.4404761904761905, 0.3898305084745763, 0.5294117647058824, 0.5384615384615384, 0.28, 0.5753424657534246, 0.4639175257731959, 0.5925925925925926, 0.6582278481012658, 0.29347826086956524, 0.6074766355140186, 0.5688073394495413, 0.37209302325581395, 0.6379310344827587, 0.6111111111111112, 0.543859649122807, 0.6145833333333334, 0.26744186046511625, 0.5393258426966292]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
