,phase,breathing,heartbeat,combined br hb,undercomplete,sparse,deep,test id
simple_dense,"[0.22448979318141937, 0.43209877610206604, 0.33766233921051025, 0.5393258333206177, 0.3452380895614624, 0.5169491767883301, 0.5147058963775635, 0.48076921701431274, 0.550000011920929, 0.45205479860305786, 0.5154638886451721, 0.5925925970077515, 0.5189873576164246, 0.5652173757553101, 0.5514018535614014, 0.5504587292671204, 0.930232584476471, 0.7758620977401733, 0.6666666865348816, 0.5263158082962036, 0.59375, 0.44186046719551086, 0.49438202381134033]","[0.3265306055545807, 0.5555555820465088, 0.41558441519737244, 0.5056179761886597, 0.2857142984867096, 0.47457626461982727, 0.6323529481887817, 0.557692289352417, 0.3100000023841858, 0.42465752363204956, 0.4536082446575165, 0.5555555820465088, 0.39240506291389465, 0.5760869383811951, 0.5794392228126526, 0.4587155878543854, 0.41860464215278625, 0.6034482717514038, 0.5416666865348816, 0.48245614767074585, 0.3645833432674408, 0.5813953280448914, 0.47191011905670166]","[0.6734693646430969, 0.45679011940956116, 0.4025973975658417, 0.31460675597190857, 0.6071428656578064, 0.3305084705352783, 0.30882352590560913, 0.5384615659713745, 0.550000011920929, 0.42465752363204956, 0.5876288414001465, 0.5432098507881165, 0.4430379867553711, 0.44565218687057495, 0.42990654706954956, 0.5321100950241089, 0.3720930218696594, 0.568965494632721, 0.3333333432674408, 0.6842105388641357, 0.6354166865348816, 0.6162790656089783, 0.550561785697937]","[0.7755101919174194, 0.5432098507881165, 0.48051947355270386, 0.5393258333206177, 0.5357142686843872, 0.6016949415206909, 0.6323529481887817, 0.38461539149284363, 0.4000000059604645, 0.34246575832366943, 0.6288659572601318, 0.790123462677002, 0.49367088079452515, 0.554347813129425, 0.4859813153743744, 0.5963302850723267, 0.5813953280448914, 0.4137931168079376, 0.4444444477558136, 0.5350877046585083, 0.4479166567325592, 0.5348837375640869, 0.3483146131038666]","[0.2448979616165161, 0.4938271641731262, 0.2467532455921173, 0.5393258333206177, 0.5357142686843872, 0.5254237055778503, 0.5735294222831726, 0.6153846383094788, 0.41999998688697815, 0.4109589159488678, 0.6082473993301392, 0.6419752836227417, 0.6582278609275818, 0.5869565010070801, 0.4672897160053253, 0.44954127073287964, 0.930232584476471, 0.8448275923728943, 0.625, 0.4912280738353729, 0.6458333134651184, 0.5116279125213623, 0.584269642829895]","[0.22448979318141937, 0.43209877610206604, 0.4675324559211731, 0.516853928565979, 0.4166666567325592, 0.5254237055778503, 0.6323529481887817, 0.5961538553237915, 0.4699999988079071, 0.5479452013969421, 0.5979381203651428, 0.7037037014961243, 0.6202531456947327, 0.41304346919059753, 0.5233644843101501, 0.5596330165863037, 0.7674418687820435, 0.6724137663841248, 0.5972222089767456, 0.4912280738353729, 0.6041666865348816, 0.6162790656089783, 0.6067415475845337]","[0.3877550959587097, 0.5802469253540039, 0.4025973975658417, 0.49438202381134033, 0.4761904776096344, 0.41525423526763916, 0.5735294222831726, 0.38461539149284363, 0.5099999904632568, 0.42465752363204956, 0.7835051417350769, 0.7407407164573669, 0.5443037748336792, 0.6304348111152649, 0.44859811663627625, 0.35779815912246704, 0.7441860437393188, 0.8275862336158752, 0.4722222089767456, 0.4035087823867798, 0.7083333134651184, 0.5348837375640869, 0.550561785697937]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
LSTM,"[0.5510203838348389, 0.48148149251937866, 0.33766233921051025, 0.49438202381134033, 0.4761904776096344, 0.6271186470985413, 0.5735294222831726, 0.5384615659713745, 0.5299999713897705, 0.5890411138534546, 0.5567010045051575, 0.604938268661499, 0.4810126721858978, 0.6195651888847351, 0.5233644843101501, 0.4587155878543854, 0.6279069781303406, 0.568965494632721, 0.6388888955116272, 0.5438596606254578, 0.6145833134651184, 0.6395348906517029, 0.7078651785850525]","[0.6326530575752258, 0.5308641791343689, 0.5064935088157654, 0.49438202381134033, 0.511904776096344, 0.44915252923965454, 0.6029411554336548, 0.42307692766189575, 0.49000000953674316, 0.6027397513389587, 0.4020618498325348, 0.5061728358268738, 0.49367088079452515, 0.6195651888847351, 0.4953271150588989, 0.5321100950241089, 0.3255814015865326, 0.4137931168079376, 0.5694444179534912, 0.4385964870452881, 0.3541666567325592, 0.5813953280448914, 0.449438214302063]","[0.6122449040412903, 0.4938271641731262, 0.5194805264472961, 0.49438202381134033, 0.4404761791229248, 0.4237288236618042, 0.4264705777168274, 0.4615384638309479, 0.4300000071525574, 0.36986300349235535, 0.5360824465751648, 0.6666666865348816, 0.5316455960273743, 0.5760869383811951, 0.4672897160053253, 0.5963302850723267, 0.39534884691238403, 0.3965517282485962, 0.25, 0.5526315569877625, 0.6458333134651184, 0.5, 0.449438214302063]","[0.5918367505073547, 0.5185185074806213, 0.5194805264472961, 0.5056179761886597, 0.5476190447807312, 0.39830508828163147, 0.6029411554336548, 0.17307692766189575, 0.4699999988079071, 0.4931506812572479, 0.47422680258750916, 0.5679012537002563, 0.6708860993385315, 0.6521739363670349, 0.420560747385025, 0.43119266629219055, 0.4651162922382355, 0.3103448152542114, 0.3333333432674408, 0.5, 0.40625, 0.4767441749572754, 0.5280898809432983]","[0.2448979616165161, 0.48148149251937866, 0.29870128631591797, 0.47191011905670166, 0.523809552192688, 0.5338982939720154, 0.6323529481887817, 0.4038461446762085, 0.550000011920929, 0.5753424763679504, 0.5257731676101685, 0.6666666865348816, 0.5189873576164246, 0.32608696818351746, 0.4672897160053253, 0.5504587292671204, 0.4651162922382355, 0.6034482717514038, 0.5555555820465088, 0.5, 0.625, 0.4767441749572754, 0.49438202381134033]","[0.3469387888908386, 0.48148149251937866, 0.3896103799343109, 0.6067415475845337, 0.5714285969734192, 0.44915252923965454, 0.6029411554336548, 0.48076921701431274, 0.41999998688697815, 0.5890411138534546, 0.5463917255401611, 0.5802469253540039, 0.7848101258277893, 0.6413043737411499, 0.4672897160053253, 0.5504587292671204, 0.44186046719551086, 0.8793103694915771, 0.4583333432674408, 0.5087719559669495, 0.6770833134651184, 0.4883720874786377, 0.5955055952072144]","[0.3265306055545807, 0.5185185074806213, 0.4025973975658417, 0.483146071434021, 0.4523809552192688, 0.24576270580291748, 0.5735294222831726, 0.48076921701431274, 0.5899999737739563, 0.6164383292198181, 0.5051546096801758, 0.3827160596847534, 0.5189873576164246, 0.3695652186870575, 0.47663551568984985, 0.5504587292671204, 0.604651153087616, 0.6724137663841248, 0.4722222089767456, 0.41228070855140686, 0.6354166865348816, 0.5, 0.5617977380752563]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
kNN,"[0.32653061224489793, 0.6419753086419753, 0.4675324675324675, 0.5617977528089888, 0.44047619047619047, 0.4830508474576271, 0.4852941176470588, 0.6346153846153846, 0.6, 0.6301369863013698, 0.4742268041237113, 0.5308641975308642, 0.5443037974683544, 0.6956521739130435, 0.40186915887850466, 0.3853211009174312, 0.46511627906976744, 0.4827586206896552, 0.5833333333333334, 0.5701754385964912, 0.53125, 0.7558139534883721, 0.651685393258427]","[0.3673469387755102, 0.6049382716049383, 0.4805194805194805, 0.5056179775280899, 0.44047619047619047, 0.4661016949152542, 0.47058823529411764, 0.4807692307692308, 0.4, 0.4246575342465753, 0.38144329896907214, 0.5432098765432098, 0.4936708860759494, 0.4891304347826087, 0.4485981308411215, 0.46788990825688076, 0.3488372093023256, 0.43103448275862066, 0.5833333333333334, 0.42105263157894735, 0.3333333333333333, 0.6511627906976745, 0.3707865168539326]","[0.4897959183673469, 0.43209876543209874, 0.2857142857142857, 0.6629213483146067, 0.5595238095238095, 0.4491525423728814, 0.5294117647058824, 0.46153846153846156, 0.55, 0.5342465753424658, 0.6597938144329897, 0.4074074074074074, 0.4936708860759494, 0.5217391304347826, 0.38317757009345793, 0.6055045871559633, 0.3953488372093023, 0.3275862068965517, 0.3055555555555556, 0.631578947368421, 0.4791666666666667, 0.5, 0.4943820224719101]","[0.42857142857142855, 0.6172839506172839, 0.4805194805194805, 0.5393258426966292, 0.5833333333333334, 0.4406779661016949, 0.6029411764705882, 0.21153846153846154, 0.56, 0.589041095890411, 0.7216494845360825, 0.7160493827160493, 0.34177215189873417, 0.6521739130434783, 0.48598130841121495, 0.5779816513761468, 0.5813953488372093, 0.20689655172413793, 0.3611111111111111, 0.6578947368421053, 0.4375, 0.5465116279069767, 0.6179775280898876]","[0.30612244897959184, 0.43209876543209874, 0.33766233766233766, 0.5730337078651685, 0.5833333333333334, 0.3983050847457627, 0.6470588235294118, 0.6346153846153846, 0.52, 0.6986301369863014, 0.30927835051546393, 0.5061728395061729, 0.5443037974683544, 0.42391304347826086, 0.514018691588785, 0.6513761467889908, 0.6511627906976745, 0.7586206896551724, 0.3194444444444444, 0.6403508771929824, 0.6354166666666666, 0.36046511627906974, 0.5280898876404494]","[0.3877551020408163, 0.5308641975308642, 0.37662337662337664, 0.6404494382022472, 0.6309523809523809, 0.423728813559322, 0.6470588235294118, 0.5576923076923077, 0.52, 0.3561643835616438, 0.4742268041237113, 0.5432098765432098, 0.620253164556962, 0.45652173913043476, 0.5327102803738317, 0.5779816513761468, 0.5581395348837209, 0.6896551724137931, 0.5416666666666666, 0.49122807017543857, 0.5416666666666666, 0.5, 0.651685393258427]","[0.30612244897959184, 0.4444444444444444, 0.24675324675324675, 0.48314606741573035, 0.6071428571428571, 0.6271186440677966, 0.5147058823529411, 0.5, 0.56, 0.4383561643835616, 0.5257731958762887, 0.4691358024691358, 0.569620253164557, 0.5217391304347826, 0.5607476635514018, 0.5137614678899083, 0.6511627906976745, 0.5344827586206896, 0.5555555555555556, 0.43859649122807015, 0.4895833333333333, 0.4883720930232558, 0.42696629213483145]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
SVC,"[0.2653061224489796, 0.49382716049382713, 0.4025974025974026, 0.6179775280898876, 0.5595238095238095, 0.4322033898305085, 0.6029411764705882, 0.5961538461538461, 0.49, 0.4931506849315068, 0.5876288659793815, 0.7530864197530864, 0.7468354430379747, 0.6195652173913043, 0.5046728971962616, 0.5321100917431193, 0.8372093023255814, 0.6724137931034483, 0.5277777777777778, 0.43859649122807015, 0.625, 0.37209302325581395, 0.5842696629213483]","[0.46938775510204084, 0.5802469135802469, 0.33766233766233766, 0.4606741573033708, 0.5, 0.423728813559322, 0.5588235294117647, 0.5576923076923077, 0.36, 0.684931506849315, 0.4639175257731959, 0.6296296296296297, 0.46835443037974683, 0.6086956521739131, 0.5327102803738317, 0.47706422018348627, 0.3953488372093023, 0.5344827586206896, 0.4722222222222222, 0.6403508771929824, 0.375, 0.5697674418604651, 0.42696629213483145]","[0.4489795918367347, 0.5555555555555556, 0.4025974025974026, 0.5168539325842697, 0.5833333333333334, 0.4661016949152542, 0.4264705882352941, 0.46153846153846156, 0.41, 0.410958904109589, 0.6391752577319587, 0.6049382716049383, 0.5063291139240507, 0.5543478260869565, 0.4485981308411215, 0.7155963302752294, 0.16279069767441862, 0.3103448275862069, 0.375, 0.5964912280701754, 0.5520833333333334, 0.3953488372093023, 0.5955056179775281]","[0.40816326530612246, 0.4444444444444444, 0.3246753246753247, 0.5955056179775281, 0.5, 0.4152542372881356, 0.4411764705882353, 0.3269230769230769, 0.44, 0.3835616438356164, 0.4639175257731959, 0.7407407407407407, 0.4810126582278481, 0.6521739130434783, 0.5514018691588785, 0.5596330275229358, 0.6976744186046512, 0.3103448275862069, 0.4305555555555556, 0.6140350877192983, 0.3854166666666667, 0.6046511627906976, 0.42696629213483145]","[0.30612244897959184, 0.41975308641975306, 0.38961038961038963, 0.6629213483146067, 0.6666666666666666, 0.5508474576271186, 0.5588235294117647, 0.6153846153846154, 0.51, 0.5753424657534246, 0.5051546391752577, 0.6419753086419753, 0.7721518987341772, 0.5978260869565217, 0.4672897196261682, 0.5229357798165137, 0.9069767441860465, 0.8448275862068966, 0.5416666666666666, 0.47368421052631576, 0.6354166666666666, 0.4883720930232558, 0.5730337078651685]","[0.2857142857142857, 0.41975308641975306, 0.36363636363636365, 0.5617977528089888, 0.5476190476190477, 0.5254237288135594, 0.5294117647058824, 0.5192307692307693, 0.49, 0.4657534246575342, 0.6082474226804123, 0.7037037037037037, 0.6708860759493671, 0.6086956521739131, 0.48598130841121495, 0.5137614678899083, 0.6744186046511628, 0.7931034482758621, 0.625, 0.5, 0.6458333333333334, 0.4069767441860465, 0.6741573033707865]","[0.3877551020408163, 0.5185185185185185, 0.4025974025974026, 0.4943820224719101, 0.4642857142857143, 0.4152542372881356, 0.5735294117647058, 0.4807692307692308, 0.59, 0.6027397260273972, 0.38144329896907214, 0.5061728395061729, 0.5189873417721519, 0.6521739130434783, 0.4766355140186916, 0.45871559633027525, 0.7209302325581395, 0.6724137931034483, 0.4444444444444444, 0.40350877192982454, 0.6458333333333334, 0.4883720930232558, 0.550561797752809]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
random_forest,"[0.22448979591836735, 0.4691358024691358, 0.2727272727272727, 0.5730337078651685, 0.34523809523809523, 0.3474576271186441, 0.5, 0.5, 0.51, 0.410958904109589, 0.422680412371134, 0.6296296296296297, 0.620253164556962, 0.22826086956521738, 0.616822429906542, 0.5412844036697247, 0.4418604651162791, 0.8275862068965517, 0.5277777777777778, 0.43859649122807015, 0.5625, 0.5465116279069767, 0.5393258426966292]","[0.40816326530612246, 0.4074074074074074, 0.5324675324675324, 0.4943820224719101, 0.4523809523809524, 0.4745762711864407, 0.5147058823529411, 0.6730769230769231, 0.39, 0.5068493150684932, 0.5257731958762887, 0.6666666666666666, 0.45569620253164556, 0.6086956521739131, 0.4392523364485981, 0.5321100917431193, 0.4883720930232558, 0.3448275862068966, 0.5694444444444444, 0.47368421052631576, 0.3854166666666667, 0.6976744186046512, 0.43820224719101125]","[0.5714285714285714, 0.4074074074074074, 0.35064935064935066, 0.5393258426966292, 0.5357142857142857, 0.5254237288135594, 0.5441176470588235, 0.6153846153846154, 0.5, 0.410958904109589, 0.7835051546391752, 0.5432098765432098, 0.3291139240506329, 0.5652173913043478, 0.4392523364485981, 0.6146788990825688, 0.5116279069767442, 0.29310344827586204, 0.2222222222222222, 0.5350877192982456, 0.4166666666666667, 0.5813953488372093, 0.5730337078651685]","[0.2653061224489796, 0.4074074074074074, 0.4675324675324675, 0.5168539325842697, 0.4880952380952381, 0.5084745762711864, 0.5588235294117647, 0.5576923076923077, 0.4, 0.3972602739726027, 0.6597938144329897, 0.6172839506172839, 0.4430379746835443, 0.7391304347826086, 0.4766355140186916, 0.46788990825688076, 0.7441860465116279, 0.3448275862068966, 0.4583333333333333, 0.543859649122807, 0.40625, 0.5, 0.449438202247191]","[0.3673469387755102, 0.43209876543209874, 0.2987012987012987, 0.449438202247191, 0.6071428571428571, 0.4406779661016949, 0.5, 0.5384615384615384, 0.49, 0.5616438356164384, 0.3402061855670103, 0.654320987654321, 0.5822784810126582, 0.358695652173913, 0.5514018691588785, 0.5504587155963303, 0.4883720930232558, 0.7068965517241379, 0.5277777777777778, 0.6578947368421053, 0.6875, 0.2441860465116279, 0.47191011235955055]","[0.3877551020408163, 0.4691358024691358, 0.35064935064935066, 0.4157303370786517, 0.5714285714285714, 0.4152542372881356, 0.6176470588235294, 0.46153846153846156, 0.44, 0.589041095890411, 0.4845360824742268, 0.6419753086419753, 0.7215189873417721, 0.358695652173913, 0.5233644859813084, 0.5504587155963303, 0.4186046511627907, 0.6724137931034483, 0.6111111111111112, 0.6666666666666666, 0.6875, 0.22093023255813954, 0.48314606741573035]","[0.40816326530612246, 0.5061728395061729, 0.4155844155844156, 0.3707865168539326, 0.5119047619047619, 0.4576271186440678, 0.6029411764705882, 0.6153846153846154, 0.48, 0.6438356164383562, 0.4948453608247423, 0.6419753086419753, 0.6075949367088608, 0.4891304347826087, 0.5046728971962616, 0.5504587155963303, 0.3953488372093023, 0.7068965517241379, 0.5694444444444444, 0.7631578947368421, 0.6770833333333334, 0.2558139534883721, 0.48314606741573035]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
naive_bayesian,"[0.2857142857142857, 0.5185185185185185, 0.4675324675324675, 0.3258426966292135, 0.4166666666666667, 0.4152542372881356, 0.36764705882352944, 0.4423076923076923, 0.49, 0.136986301369863, 0.5876288659793815, 0.7407407407407407, 0.4177215189873418, 0.5869565217391305, 0.5327102803738317, 0.5504587155963303, 0.7906976744186046, 0.5862068965517241, 0.4583333333333333, 0.5087719298245614, 0.4895833333333333, 0.27906976744186046, 0.4943820224719101]","[0.2653061224489796, 0.5802469135802469, 0.2597402597402597, 0.5056179775280899, 0.5238095238095238, 0.3898305084745763, 0.38235294117647056, 0.8076923076923077, 0.54, 0.3287671232876712, 0.5567010309278351, 0.7283950617283951, 0.569620253164557, 0.40217391304347827, 0.5046728971962616, 0.5321100917431193, 0.5813953488372093, 0.6896551724137931, 0.5555555555555556, 0.6228070175438597, 0.5729166666666666, 0.5581395348837209, 0.4943820224719101]","[0.2857142857142857, 0.48148148148148145, 0.5974025974025974, 0.550561797752809, 0.47619047619047616, 0.5084745762711864, 0.39705882352941174, 0.34615384615384615, 0.41, 0.3150684931506849, 0.41237113402061853, 0.38271604938271603, 0.4936708860759494, 0.6521739130434783, 0.5233644859813084, 0.5504587155963303, 0.6976744186046512, 0.25862068965517243, 0.6111111111111112, 0.5087719298245614, 0.5208333333333334, 0.5, 0.449438202247191]","[0.2857142857142857, 0.48148148148148145, 0.5974025974025974, 0.550561797752809, 0.47619047619047616, 0.5084745762711864, 0.39705882352941174, 0.34615384615384615, 0.41, 0.3150684931506849, 0.41237113402061853, 0.4567901234567901, 0.5949367088607594, 0.6521739130434783, 0.5233644859813084, 0.5504587155963303, 0.6976744186046512, 0.6724137931034483, 0.5555555555555556, 0.5087719298245614, 0.5104166666666666, 0.46511627906976744, 0.449438202247191]","[0.2857142857142857, 0.5185185185185185, 0.5844155844155844, 0.43820224719101125, 0.5833333333333334, 0.5847457627118644, 0.36764705882352944, 0.40384615384615385, 0.21, 0.273972602739726, 0.7835051546391752, 0.7283950617283951, 0.46835443037974683, 0.5434782608695652, 0.5233644859813084, 0.5504587155963303, 0.6976744186046512, 0.6379310344827587, 0.5, 0.5964912280701754, 0.4895833333333333, 0.3023255813953488, 0.47191011235955055]","[0.40816326530612246, 0.5061728395061729, 0.4155844155844156, 0.47191011235955055, 0.4880952380952381, 0.4152542372881356, 0.6176470588235294, 0.4807692307692308, 0.59, 0.410958904109589, 0.5773195876288659, 0.7407407407407407, 0.5189873417721519, 0.6413043478260869, 0.5607476635514018, 0.5504587155963303, 0.8372093023255814, 0.8448275862068966, 0.4722222222222222, 0.5789473684210527, 0.6458333333333334, 0.4883720930232558, 0.5730337078651685]","[0.5102040816326531, 0.5185185185185185, 0.4025974025974026, 0.48314606741573035, 0.47619047619047616, 0.4915254237288136, 0.6029411764705882, 0.6538461538461539, 0.59, 0.684931506849315, 0.5876288659793815, 0.6172839506172839, 0.5063291139240507, 0.32608695652173914, 0.4766355140186916, 0.44954128440366975, 0.3023255813953488, 0.6896551724137931, 0.5694444444444444, 0.49122807017543857, 0.4791666666666667, 0.6162790697674418, 0.550561797752809]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
XGBoost,"[0.24489795918367346, 0.5185185185185185, 0.4155844155844156, 0.550561797752809, 0.35714285714285715, 0.423728813559322, 0.47058823529411764, 0.5384615384615384, 0.47, 0.4520547945205479, 0.4020618556701031, 0.6172839506172839, 0.6455696202531646, 0.31521739130434784, 0.6261682242990654, 0.5321100917431193, 0.5581395348837209, 0.6551724137931034, 0.5694444444444444, 0.4649122807017544, 0.5104166666666666, 0.5116279069767442, 0.6067415730337079]","[0.5306122448979592, 0.5308641975308642, 0.37662337662337664, 0.6629213483146067, 0.5357142857142857, 0.6271186440677966, 0.5441176470588235, 0.40384615384615385, 0.43, 0.4383561643835616, 0.5051546391752577, 0.5679012345679012, 0.43037974683544306, 0.5760869565217391, 0.411214953271028, 0.47706422018348627, 0.5813953488372093, 0.4482758620689655, 0.5138888888888888, 0.6228070175438597, 0.46875, 0.6395348837209303, 0.38202247191011235]","[0.4897959183673469, 0.41975308641975306, 0.33766233766233766, 0.47191011235955055, 0.5119047619047619, 0.5508474576271186, 0.5147058823529411, 0.75, 0.49, 0.3424657534246575, 0.5463917525773195, 0.4567901234567901, 0.34177215189873417, 0.6304347826086957, 0.3925233644859813, 0.5045871559633027, 0.5813953488372093, 0.3103448275862069, 0.19444444444444445, 0.543859649122807, 0.3958333333333333, 0.47674418604651164, 0.550561797752809]","[0.3673469387755102, 0.38271604938271603, 0.5194805194805194, 0.5056179775280899, 0.5476190476190477, 0.6101694915254238, 0.6176470588235294, 0.46153846153846156, 0.31, 0.5205479452054794, 0.5773195876288659, 0.5925925925925926, 0.4936708860759494, 0.6413043478260869, 0.411214953271028, 0.48623853211009177, 0.5348837209302325, 0.3103448275862069, 0.4305555555555556, 0.5087719298245614, 0.5, 0.5348837209302325, 0.42696629213483145]","[0.3469387755102041, 0.5061728395061729, 0.38961038961038963, 0.4943820224719101, 0.47619047619047616, 0.4152542372881356, 0.5441176470588235, 0.5384615384615384, 0.38, 0.6164383561643836, 0.35051546391752575, 0.6172839506172839, 0.5822784810126582, 0.34782608695652173, 0.5514018691588785, 0.6146788990825688, 0.4186046511627907, 0.7586206896551724, 0.5277777777777778, 0.6052631578947368, 0.6145833333333334, 0.313953488372093, 0.42696629213483145]","[0.2857142857142857, 0.4444444444444444, 0.5194805194805194, 0.4606741573033708, 0.4880952380952381, 0.4406779661016949, 0.6029411764705882, 0.46153846153846156, 0.37, 0.5205479452054794, 0.4845360824742268, 0.6419753086419753, 0.7468354430379747, 0.33695652173913043, 0.5981308411214953, 0.5688073394495413, 0.32558139534883723, 0.7413793103448276, 0.5277777777777778, 0.5964912280701754, 0.6458333333333334, 0.22093023255813954, 0.47191011235955055]","[0.3469387755102041, 0.5802469135802469, 0.45454545454545453, 0.39325842696629215, 0.5119047619047619, 0.4152542372881356, 0.5588235294117647, 0.6153846153846154, 0.34, 0.589041095890411, 0.5257731958762887, 0.5802469135802469, 0.6582278481012658, 0.391304347826087, 0.48598130841121495, 0.5412844036697247, 0.5116279069767442, 0.6724137931034483, 0.6111111111111112, 0.6754385964912281, 0.65625, 0.3488372093023256, 0.4606741573033708]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
