round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,hidden_size,last_activation,loss,lr,optimizer
100,0.567826509475708,0.712909460067749,0.0,0.0,relu,128,0.16,100,32,sigmoid,binary_crossentropy,1.09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.521782398223877,0.5067437291145325,0.0,0.0,softmax,64,0.08,100,16,softmax,binary_crossentropy,5.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.6729905605316162,0.5684008002281189,0.0,0.0,softmax,256,0.28,100,32,relu,binary_crossentropy,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.6621420979499817,0.5626204013824463,0.0,0.0,softmax,256,0.12,100,24,relu,binary_crossentropy,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.4429400563240051,0.8015414476394653,0.0,0.0,relu,64,0.24,100,64,sigmoid,binary_crossentropy,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.757055282592773,0.4971098303794861,0.0,0.0,relu,256,0.28,100,64,relu,binary_crossentropy,9.01,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.4647011458873749,0.7687861323356628,0.0,0.0,relu,128,0.08,100,64,sigmoid,binary_crossentropy,1.09,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.6697849035263062,0.5587668418884277,0.0,0.0,sigmoid,256,0.16,100,16,sigmoid,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.6942504644393921,0.5298651456832886,0.0,0.0,softmax,256,0.12,100,16,sigmoid,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.6061097979545593,0.6319845914840698,0.0,0.0,sigmoid,128,0.36,100,16,sigmoid,binary_crossentropy,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.521782398223877,0.5067437291145325,0.0,0.0,sigmoid,256,0.04,100,24,softmax,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.521782398223877,0.5067437291145325,0.0,0.0,softmax,128,0.04,100,16,softmax,binary_crossentropy,5.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.6712446212768555,0.5009633898735046,0.0,0.0,sigmoid,128,0.04,100,24,relu,binary_crossentropy,9.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.521782398223877,0.5067437291145325,0.0,0.0,softmax,256,0.24,100,16,softmax,binary_crossentropy,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.5126675367355347,0.7244701385498047,0.0,0.0,relu,256,0.08,100,64,sigmoid,binary_crossentropy,9.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.701265811920166,0.49903661012649536,0.0,0.0,relu,128,0.0,100,20,relu,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.6194416880607605,0.6146435737609863,0.0,0.0,sigmoid,256,0.12,100,20,sigmoid,binary_crossentropy,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.3902624547481537,0.8304431438446045,0.0,0.0,relu,64,0.12,100,16,sigmoid,binary_crossentropy,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.521782398223877,0.5067437291145325,0.0,0.0,sigmoid,128,0.08,100,24,softmax,binary_crossentropy,6.04,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.6628140807151794,0.5992292761802673,0.0,0.0,sigmoid,128,0.28,100,20,sigmoid,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.521782398223877,0.5067437291145325,0.0,0.0,softmax,64,0.24,100,20,softmax,binary_crossentropy,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.7124567627906799,0.5529865026473999,0.0,0.0,softmax,256,0.12,100,20,relu,binary_crossentropy,9.01,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.521782398223877,0.5067437291145325,0.0,0.0,softmax,256,0.12,100,32,softmax,binary_crossentropy,9.01,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.575684547424316,0.5086705088615417,0.0,0.0,relu,64,0.0,100,20,relu,binary_crossentropy,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.7106906771659851,0.5433526039123535,0.0,0.0,softmax,128,0.24,100,16,relu,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.434830188751221,0.5163776278495789,0.0,0.0,sigmoid,128,0.32,100,32,relu,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.5806115865707397,0.6936416029930115,0.0,0.0,relu,256,0.36,100,16,sigmoid,binary_crossentropy,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
