round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,hidden_size,last_activation,loss,lr,optimizer
100,0.6910027265548706,0.5125240683555603,0.0,0.0,softmax,128,0.32,100,64,relu,binary_crossentropy,1.09,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,softmax,256,0.28,100,24,softmax,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,relu,256,0.16,100,64,softmax,binary_crossentropy,8.020000000000001,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,softmax,64,0.16,100,24,softmax,binary_crossentropy,5.05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.6686930656433105,0.4971098303794861,0.0,0.0,relu,128,0.04,100,16,softmax,binary_crossentropy,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.6168580651283264,0.6685934662818909,0.0,0.0,sigmoid,64,0.16,100,32,sigmoid,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,relu,64,0.12,100,20,softmax,binary_crossentropy,1.09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,relu,64,0.08,100,24,relu,binary_crossentropy,5.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,relu,64,0.08,100,32,softmax,binary_crossentropy,6.04,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.6686930656433105,0.4971098303794861,0.0,0.0,softmax,128,0.0,100,64,softmax,binary_crossentropy,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,sigmoid,256,0.36,100,16,softmax,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.667893409729004,0.5028901696205139,0.0,0.0,relu,64,0.04,100,16,relu,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.6686930656433105,0.4971098303794861,0.0,0.0,sigmoid,128,0.04,100,32,relu,binary_crossentropy,5.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.6686930656433105,0.4971098303794861,0.0,0.0,softmax,128,0.16,100,64,softmax,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,relu,256,0.12,100,32,relu,binary_crossentropy,8.020000000000001,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.6073455214500427,0.6531791687011719,0.0,0.0,sigmoid,128,0.24,100,16,sigmoid,binary_crossentropy,5.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,0.5768585205078125,0.7302504777908325,0.0,0.0,softmax,128,0.36,100,20,sigmoid,binary_crossentropy,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,relu,64,0.12,100,16,softmax,binary_crossentropy,5.05,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.667893409729004,0.5028901696205139,0.0,0.0,sigmoid,256,0.28,100,32,relu,binary_crossentropy,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,relu,256,0.16,100,20,relu,binary_crossentropy,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,0.6391900777816772,0.6204239130020142,0.0,0.0,softmax,256,0.12,100,24,relu,binary_crossentropy,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.6686930656433105,0.4971098303794861,0.0,0.0,sigmoid,128,0.28,100,64,relu,binary_crossentropy,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,sigmoid,256,0.16,100,16,softmax,binary_crossentropy,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,softmax,64,0.0,100,20,softmax,binary_crossentropy,8.020000000000001,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,relu,256,0.2,100,24,relu,binary_crossentropy,8.020000000000001,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,sigmoid,64,0.28,100,32,softmax,binary_crossentropy,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
100,7.668692111968994,0.4971098303794861,0.0,0.0,relu,256,0.2,100,20,relu,binary_crossentropy,2.08,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>
