,phase,breathing,heartbeat,combined br hb,undercomplete,sparse,deep,test id
simple_dense,"[1.0, 0.8333333134651184, 0.800000011920929, 0.5416666865348816, 0.5833333134651184, 0.7857142686843872, 0.75, 0.5, 0.6363636255264282, 0.5, 0.5625, 0.4444444477558136, 0.625, 0.550000011920929, 0.875, 0.800000011920929, 0.8333333134651184, 0.5833333134651184, 0.625, 0.6000000238418579, 0.6538461446762085, 0.5833333134651184, 0.375]","[0.5, 0.6666666865348816, 0.800000011920929, 0.875, 0.8333333134651184, 0.7142857313156128, 0.6666666865348816, 0.5, 0.8636363744735718, 0.75, 0.375, 0.6666666865348816, 0.5, 0.75, 0.75, 0.5666666626930237, 0.8333333134651184, 0.75, 0.625, 0.6499999761581421, 0.8461538553237915, 0.6666666865348816, 0.75]","[0.5, 0.3333333432674408, 0.550000011920929, 0.5416666865348816, 0.5, 0.4285714328289032, 0.5833333134651184, 0.5, 0.6818181872367859, 1.0, 0.4375, 0.7777777910232544, 0.5, 0.4000000059604645, 0.4375, 0.4333333373069763, 0.5, 0.5833333134651184, 0.75, 0.4000000059604645, 0.5769230723381042, 0.5, 0.5]","[1.0, 0.6111111044883728, 0.75, 0.7083333134651184, 0.5833333134651184, 0.7857142686843872, 0.5, 0.875, 0.7727272510528564, 0.875, 0.375, 0.5555555820465088, 0.5, 0.3499999940395355, 0.6875, 0.5, 1.0, 0.75, 0.5625, 0.6499999761581421, 0.8846153616905212, 0.5833333134651184, 0.875]","[0.5, 0.8333333134651184, 0.8999999761581421, 0.5, 0.6666666865348816, 0.6428571343421936, 0.75, 0.625, 0.5454545617103577, 0.625, 0.5625, 0.4444444477558136, 0.5, 0.5, 0.75, 0.5333333611488342, 0.5, 0.6666666865348816, 0.5625, 0.6000000238418579, 0.7692307829856873, 0.6666666865348816, 0.75]","[0.5, 0.7777777910232544, 0.800000011920929, 0.4583333432674408, 0.5, 0.6428571343421936, 0.6666666865348816, 0.75, 0.5, 0.625, 0.5625, 0.4444444477558136, 0.375, 0.44999998807907104, 0.875, 0.5333333611488342, 0.6666666865348816, 0.8333333134651184, 0.4375, 0.6000000238418579, 0.6538461446762085, 0.6666666865348816, 0.625]","[0.5, 0.6666666865348816, 0.550000011920929, 0.4166666567325592, 0.5, 0.7142857313156128, 0.5833333134651184, 0.625, 0.5, 0.75, 0.625, 0.4444444477558136, 0.5, 0.44999998807907104, 0.75, 0.7666666507720947, 0.8333333134651184, 0.8333333134651184, 0.375, 0.699999988079071, 0.7307692170143127, 0.75, 0.625]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
LSTM,"[1.0, 0.7777777910232544, 0.8999999761581421, 0.625, 0.6666666865348816, 0.8571428656578064, 0.75, 0.875, 0.8181818127632141, 0.875, 0.5, 0.5, 0.75, 0.699999988079071, 0.75, 0.5333333611488342, 0.5, 0.75, 0.5625, 0.6000000238418579, 0.692307710647583, 0.6666666865348816, 0.875]","[1.0, 0.7222222089767456, 0.699999988079071, 0.875, 0.6666666865348816, 0.9285714030265808, 0.6666666865348816, 0.625, 0.8181818127632141, 1.0, 0.4375, 0.6666666865348816, 0.4375, 0.800000011920929, 0.5625, 0.5666666626930237, 0.8333333134651184, 0.9166666865348816, 0.5, 0.6499999761581421, 0.9230769276618958, 0.75, 0.625]","[0.5, 0.4444444477558136, 0.44999998807907104, 0.5, 0.75, 0.3571428656578064, 0.3333333432674408, 0.375, 0.7272727489471436, 0.5, 0.5, 0.6666666865348816, 0.625, 0.4000000059604645, 0.625, 0.4333333373069763, 0.5, 0.5, 0.5625, 0.3499999940395355, 0.5769230723381042, 0.5833333134651184, 0.75]","[1.0, 0.7777777910232544, 0.699999988079071, 0.7916666865348816, 0.5833333134651184, 0.8571428656578064, 0.6666666865348816, 0.75, 0.7727272510528564, 0.625, 0.5625, 0.7222222089767456, 0.375, 0.75, 0.625, 0.6333333253860474, 0.6666666865348816, 1.0, 0.625, 0.550000011920929, 0.8461538553237915, 0.6666666865348816, 0.5]","[0.5, 0.6666666865348816, 0.699999988079071, 0.4166666567325592, 0.3333333432674408, 0.5, 0.6666666865348816, 0.875, 0.5, 0.625, 0.4375, 0.5, 0.4375, 0.5, 0.5625, 0.5333333611488342, 0.3333333432674408, 0.75, 0.625, 0.550000011920929, 0.5384615659713745, 0.5833333134651184, 0.75]","[0.5, 0.6111111044883728, 0.44999998807907104, 0.4583333432674408, 0.3333333432674408, 0.5, 0.5, 0.75, 0.5, 0.5, 0.5625, 0.5555555820465088, 0.4375, 0.5, 0.5625, 0.5333333611488342, 0.5, 0.6666666865348816, 0.625, 0.75, 0.6538461446762085, 0.6666666865348816, 0.625]","[0.5, 0.5, 0.5, 0.3333333432674408, 0.6666666865348816, 0.7142857313156128, 0.6666666865348816, 0.625, 0.5, 0.625, 0.375, 0.4444444477558136, 0.375, 0.5, 0.625, 0.699999988079071, 0.5, 0.75, 0.5, 0.6000000238418579, 0.6153846383094788, 0.5833333134651184, 0.625]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
kNN,"[0.5, 0.8333333333333334, 0.75, 0.5416666666666666, 0.5833333333333334, 0.8571428571428571, 0.5, 0.5, 0.6818181818181818, 0.75, 0.5, 0.5, 0.6875, 0.5, 0.8125, 0.6333333333333333, 0.8333333333333334, 0.6666666666666666, 0.6875, 0.7, 0.9230769230769231, 0.6666666666666666, 0.875]","[1.0, 0.6111111111111112, 0.85, 0.5833333333333334, 0.75, 0.8571428571428571, 0.6666666666666666, 0.625, 0.9545454545454546, 1.0, 0.375, 0.8333333333333334, 0.5, 0.8, 0.8125, 0.5333333333333333, 0.8333333333333334, 0.75, 0.6875, 0.65, 0.8846153846153846, 0.75, 0.875]","[1.0, 0.3333333333333333, 0.65, 0.7916666666666666, 0.8333333333333334, 0.5, 0.4166666666666667, 0.625, 0.5909090909090909, 0.75, 0.75, 0.7222222222222222, 0.5, 0.3, 0.6875, 0.4, 0.5, 0.3333333333333333, 0.75, 0.35, 0.46153846153846156, 0.5833333333333334, 0.375]","[0.5, 0.6666666666666666, 0.9, 0.5833333333333334, 0.5833333333333334, 0.7857142857142857, 0.75, 0.875, 0.6818181818181818, 1.0, 0.4375, 0.8333333333333334, 0.5, 0.6, 0.8125, 0.5666666666666667, 0.8333333333333334, 0.6666666666666666, 0.75, 0.6, 0.8076923076923077, 0.75, 0.75]","[1.0, 0.5, 0.65, 0.4166666666666667, 0.5, 0.6428571428571429, 0.6666666666666666, 0.625, 0.7272727272727273, 0.75, 0.4375, 0.4444444444444444, 0.5625, 0.35, 0.625, 0.5, 0.6666666666666666, 0.5833333333333334, 0.5, 0.65, 0.5769230769230769, 0.5833333333333334, 0.75]","[0.5, 0.4444444444444444, 0.65, 0.4583333333333333, 0.5, 0.6428571428571429, 0.5833333333333334, 0.625, 0.5909090909090909, 0.75, 0.5, 0.4444444444444444, 0.5, 0.45, 0.625, 0.4666666666666667, 0.6666666666666666, 0.5, 0.5625, 0.65, 0.6153846153846154, 0.75, 0.75]","[1.0, 0.8333333333333334, 0.6, 0.5416666666666666, 0.4166666666666667, 0.5714285714285714, 0.5833333333333334, 0.375, 0.5, 0.75, 0.5, 0.4444444444444444, 0.5, 0.35, 0.625, 0.5666666666666667, 0.6666666666666666, 0.75, 0.6875, 0.7, 0.5769230769230769, 0.5833333333333334, 0.75]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
SVC,"[0.5, 0.8888888888888888, 0.7, 0.5833333333333334, 0.5833333333333334, 0.7857142857142857, 0.8333333333333334, 0.875, 0.5454545454545454, 0.75, 0.5625, 0.4444444444444444, 0.5625, 0.5, 0.75, 0.5666666666666667, 0.6666666666666666, 0.8333333333333334, 0.625, 0.75, 0.8076923076923077, 0.5833333333333334, 0.625]","[0.5, 0.7222222222222222, 0.8, 0.7916666666666666, 0.75, 0.7142857142857143, 0.5, 0.625, 0.8636363636363636, 0.875, 0.375, 0.6666666666666666, 0.4375, 0.65, 0.6875, 0.5666666666666667, 1.0, 0.9166666666666666, 0.625, 0.6, 0.8076923076923077, 0.8333333333333334, 0.75]","[1.0, 0.3888888888888889, 0.65, 0.7083333333333334, 0.5833333333333334, 0.5, 0.5, 0.5, 0.6363636363636364, 0.875, 0.5, 0.7222222222222222, 0.4375, 0.25, 0.5625, 0.36666666666666664, 0.5, 0.4166666666666667, 0.8125, 0.45, 0.5, 0.5, 0.75]","[0.5, 0.7222222222222222, 0.85, 0.5833333333333334, 0.5833333333333334, 0.9285714285714286, 0.4166666666666667, 0.75, 0.7727272727272727, 0.875, 0.4375, 0.8333333333333334, 0.5625, 0.8, 0.625, 0.5333333333333333, 0.6666666666666666, 0.8333333333333334, 0.5, 0.55, 0.8846153846153846, 0.5833333333333334, 0.75]","[0.5, 0.6111111111111112, 0.7, 0.4583333333333333, 0.5833333333333334, 0.5714285714285714, 0.6666666666666666, 0.875, 0.5, 0.75, 0.4375, 0.4444444444444444, 0.5, 0.45, 0.5625, 0.5333333333333333, 0.5, 0.5833333333333334, 0.375, 0.6, 0.6153846153846154, 0.5833333333333334, 0.75]","[0.5, 0.6111111111111112, 0.75, 0.4166666666666667, 0.5833333333333334, 0.5, 0.6666666666666666, 0.875, 0.5, 0.625, 0.4375, 0.4444444444444444, 0.5625, 0.45, 0.5625, 0.5333333333333333, 0.5, 0.5833333333333334, 0.6875, 0.55, 0.6153846153846154, 0.5833333333333334, 0.75]","[0.5, 0.6111111111111112, 0.55, 0.5, 0.5833333333333334, 0.5714285714285714, 0.6666666666666666, 0.75, 0.5, 0.625, 0.5, 0.4444444444444444, 0.5625, 0.5, 0.6875, 0.5666666666666667, 0.6666666666666666, 0.75, 0.5625, 0.65, 0.6923076923076923, 0.6666666666666666, 0.75]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
random_forest,"[1.0, 0.7777777777777778, 0.85, 0.6666666666666666, 0.5, 0.7142857142857143, 0.6666666666666666, 0.625, 0.5909090909090909, 0.75, 0.4375, 0.4444444444444444, 0.5, 0.55, 0.6875, 0.4666666666666667, 0.6666666666666666, 0.9166666666666666, 0.5625, 0.85, 0.8461538461538461, 0.75, 0.75]","[1.0, 0.7222222222222222, 0.75, 0.8333333333333334, 0.75, 0.7142857142857143, 0.5833333333333334, 0.75, 0.8636363636363636, 1.0, 0.375, 0.7222222222222222, 0.5, 0.8, 0.75, 0.5666666666666667, 0.8333333333333334, 0.9166666666666666, 0.6875, 0.65, 0.8846153846153846, 0.8333333333333334, 1.0]","[1.0, 0.2777777777777778, 0.7, 0.7083333333333334, 0.5833333333333334, 0.6428571428571429, 0.5, 0.5, 0.5454545454545454, 0.625, 0.5625, 0.7222222222222222, 0.5, 0.4, 0.6875, 0.36666666666666664, 0.5, 0.5833333333333334, 0.625, 0.55, 0.5, 0.4166666666666667, 0.75]","[1.0, 0.7222222222222222, 0.8, 0.7916666666666666, 0.5833333333333334, 0.7857142857142857, 0.75, 0.75, 0.9090909090909091, 1.0, 0.4375, 0.7222222222222222, 0.5, 0.8, 0.75, 0.5333333333333333, 0.6666666666666666, 0.8333333333333334, 0.625, 0.65, 0.9230769230769231, 0.6666666666666666, 0.75]","[1.0, 0.6111111111111112, 0.8, 0.5, 0.5833333333333334, 0.5714285714285714, 0.5833333333333334, 0.625, 0.5909090909090909, 0.5, 0.5, 0.6111111111111112, 0.5, 0.4, 0.75, 0.5666666666666667, 0.6666666666666666, 0.75, 0.5, 0.65, 0.6923076923076923, 0.6666666666666666, 0.75]","[1.0, 0.8333333333333334, 0.85, 0.5, 0.5833333333333334, 0.7142857142857143, 0.6666666666666666, 0.75, 0.5909090909090909, 0.625, 0.4375, 0.5, 0.4375, 0.45, 0.6875, 0.6, 0.8333333333333334, 0.75, 0.5625, 0.65, 0.6538461538461539, 0.6666666666666666, 0.75]","[1.0, 0.7777777777777778, 0.6, 0.5416666666666666, 0.5833333333333334, 0.7857142857142857, 0.6666666666666666, 0.5, 0.5454545454545454, 0.5, 0.5625, 0.5, 0.625, 0.45, 0.75, 0.6333333333333333, 0.8333333333333334, 0.9166666666666666, 0.5, 0.85, 0.6538461538461539, 0.75, 0.625]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
naive_bayesian,"[0.5, 0.2777777777777778, 0.35, 0.5, 0.6666666666666666, 0.5714285714285714, 0.5833333333333334, 0.75, 0.5, 0.625, 0.5625, 0.5555555555555556, 0.5625, 0.55, 0.5625, 0.5333333333333333, 0.5, 0.6666666666666666, 0.625, 0.5, 0.6153846153846154, 0.6666666666666666, 0.75]","[0.5, 0.6666666666666666, 0.85, 0.5833333333333334, 0.6666666666666666, 0.8571428571428571, 0.6666666666666666, 0.75, 0.5909090909090909, 1.0, 0.375, 0.6666666666666666, 0.4375, 0.65, 0.75, 0.5333333333333333, 1.0, 0.75, 0.6875, 0.65, 0.8076923076923077, 0.75, 0.625]","[0.5, 0.16666666666666666, 0.5, 0.4583333333333333, 0.25, 0.5714285714285714, 0.6666666666666666, 0.875, 0.4090909090909091, 0.375, 0.375, 0.6666666666666666, 0.8125, 0.55, 0.5, 0.4, 0.5, 0.5, 0.8125, 0.5, 0.6538461538461539, 0.5, 0.5]","[0.5, 0.6666666666666666, 0.9, 0.5416666666666666, 0.5833333333333334, 0.7857142857142857, 0.6666666666666666, 0.875, 0.5454545454545454, 1.0, 0.375, 0.6666666666666666, 0.4375, 0.6, 0.875, 0.5333333333333333, 0.8333333333333334, 0.75, 0.6875, 0.65, 0.8076923076923077, 0.75, 0.625]","[0.5, 0.2777777777777778, 0.35, 0.5, 0.5, 0.5, 0.4166666666666667, 0.375, 0.5, 0.625, 0.625, 0.6111111111111112, 0.4375, 0.5, 0.5, 0.5333333333333333, 0.5, 0.6666666666666666, 0.4375, 0.55, 0.5, 0.5, 0.75]","[0.5, 0.4444444444444444, 0.5, 0.5, 0.5833333333333334, 0.5714285714285714, 0.4166666666666667, 0.25, 0.5, 0.625, 0.5, 0.4444444444444444, 0.4375, 0.45, 0.5, 0.5333333333333333, 0.5, 0.6666666666666666, 0.625, 0.3, 0.5384615384615384, 0.6666666666666666, 0.75]","[0.5, 0.5555555555555556, 0.6, 0.4583333333333333, 0.75, 0.6428571428571429, 0.4166666666666667, 0.75, 0.5, 0.625, 0.375, 0.4444444444444444, 0.5, 0.45, 0.5625, 0.5333333333333333, 0.5, 0.6666666666666666, 0.5625, 0.6, 0.6153846153846154, 0.6666666666666666, 0.5]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
XGBoost,"[0.5, 0.5555555555555556, 0.85, 0.75, 0.4166666666666667, 0.5, 0.5833333333333334, 0.625, 0.5909090909090909, 0.75, 0.5625, 0.6666666666666666, 0.5, 0.4, 0.8125, 0.5333333333333333, 0.8333333333333334, 0.75, 0.375, 0.65, 0.6153846153846154, 0.5833333333333334, 0.625]","[1.0, 0.8333333333333334, 0.7, 0.75, 0.8333333333333334, 0.7142857142857143, 0.75, 0.375, 0.7272727272727273, 1.0, 0.4375, 0.5555555555555556, 0.5625, 0.65, 0.75, 0.5333333333333333, 0.6666666666666666, 0.9166666666666666, 0.6875, 0.65, 0.8461538461538461, 0.6666666666666666, 0.75]","[0.5, 0.3333333333333333, 0.65, 0.5416666666666666, 0.5833333333333334, 0.5714285714285714, 0.5, 0.5, 0.4090909090909091, 0.875, 0.375, 0.6666666666666666, 0.5, 0.35, 0.5625, 0.36666666666666664, 0.5, 0.5833333333333334, 0.75, 0.5, 0.6538461538461539, 0.5, 0.5]","[1.0, 0.6666666666666666, 0.8, 0.7916666666666666, 0.6666666666666666, 0.7857142857142857, 0.8333333333333334, 0.5, 0.7727272727272727, 1.0, 0.375, 0.6666666666666666, 0.4375, 0.6, 0.625, 0.5, 0.5, 0.9166666666666666, 0.75, 0.6, 0.8076923076923077, 0.5833333333333334, 0.75]","[1.0, 0.6111111111111112, 0.8, 0.5, 0.4166666666666667, 0.42857142857142855, 0.4166666666666667, 0.5, 0.5454545454545454, 0.5, 0.4375, 0.6111111111111112, 0.4375, 0.25, 0.75, 0.5333333333333333, 0.6666666666666666, 0.75, 0.375, 0.55, 0.6153846153846154, 0.3333333333333333, 0.625]","[1.0, 0.7222222222222222, 0.75, 0.5833333333333334, 0.5833333333333334, 0.7857142857142857, 0.6666666666666666, 0.5, 0.5, 0.75, 0.4375, 0.5, 0.5, 0.35, 0.625, 0.5333333333333333, 0.8333333333333334, 0.5833333333333334, 0.4375, 0.65, 0.6923076923076923, 0.5, 0.625]","[0.5, 0.6111111111111112, 0.75, 0.375, 0.25, 0.6428571428571429, 0.5833333333333334, 0.5, 0.6818181818181818, 0.5, 0.625, 0.3888888888888889, 0.4375, 0.55, 0.75, 0.6, 1.0, 0.75, 0.4375, 0.7, 0.5769230769230769, 0.8333333333333334, 0.625]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
