,phase,contractive,test id
simple_dense,"[0.5, 0.7777778, 0.85, 0.5833333, 0.6666667, 0.71428573, 0.75, 0.75, 0.6363636, 0.5, 0.5625, 0.44444445, 0.6875, 0.55, 0.875, 0.76666665, 0.8333333, 0.6666667, 0.6875, 0.6, 0.65384614, 0.5, 0.375]","[0.5, 0.7222222, 0.9, 0.41666666, 0.41666666, 0.78571427, 0.5, 0.5, 0.5, 0.625, 0.3125, 0.44444445, 0.5625, 0.5, 0.6875, 0.53333336, 0.5, 0.75, 0.5, 0.7, 0.53846157, 0.6666667, 0.75]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
LSTM,"[0.5, 0.8333333, 0.85, 0.6666667, 0.75, 1.0, 0.75, 0.875, 0.72727275, 0.75, 0.5, 0.7222222, 0.6875, 0.55, 0.6875, 0.56666666, 0.5, 0.9166667, 0.625, 0.7, 0.6923077, 0.75, 0.75]","[0.5, 0.5555556, 0.5, 0.45833334, 0.6666667, 0.5714286, 0.6666667, 0.75, 0.5, 0.625, 0.5625, 0.5, 0.4375, 0.45, 0.5625, 0.53333336, 0.5, 0.6666667, 0.625, 0.5, 0.61538464, 0.5, 0.75]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
kNN,"[0.5, 0.8333333333333334, 0.75, 0.5416666666666666, 0.5833333333333334, 0.8571428571428571, 0.5, 0.5, 0.6818181818181818, 0.75, 0.5, 0.5, 0.6875, 0.5, 0.8125, 0.6333333333333333, 0.8333333333333334, 0.6666666666666666, 0.6875, 0.7, 0.9230769230769231, 0.6666666666666666, 0.875]","[1.0, 0.5555555555555556, 0.75, 0.5, 0.4166666666666667, 0.6428571428571429, 0.4166666666666667, 0.625, 0.5454545454545454, 0.75, 0.4375, 0.4444444444444444, 0.5, 0.5, 0.5, 0.6, 0.6666666666666666, 0.5, 0.5, 0.75, 0.6923076923076923, 0.5, 0.625]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
SVC,"[0.5, 0.888888888888889, 0.7, 0.5833333333333334, 0.5833333333333334, 0.7857142857142857, 0.8333333333333334, 0.875, 0.5454545454545454, 0.75, 0.5625, 0.4444444444444445, 0.5625, 0.5, 0.75, 0.5666666666666667, 0.6666666666666666, 0.8333333333333334, 0.625, 0.75, 0.8076923076923077, 0.5833333333333334, 0.625]","[0.5, 0.6111111111111112, 0.75, 0.4583333333333333, 0.5, 0.5, 0.6666666666666666, 0.875, 0.5, 0.625, 0.4375, 0.4444444444444445, 0.625, 0.45, 0.5625, 0.5333333333333333, 0.5, 0.75, 0.625, 0.6, 0.5769230769230769, 0.5833333333333334, 0.625]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
random_forest,"[1.0, 0.7777777777777778, 0.85, 0.6666666666666666, 0.5, 0.7142857142857143, 0.6666666666666666, 0.625, 0.5909090909090909, 0.75, 0.4375, 0.4444444444444445, 0.5, 0.55, 0.6875, 0.4666666666666667, 0.6666666666666666, 0.9166666666666666, 0.5625, 0.85, 0.8461538461538461, 0.75, 0.75]","[1.0, 0.7222222222222222, 0.8, 0.4166666666666667, 0.5, 0.6428571428571429, 0.75, 0.625, 0.4545454545454545, 0.5, 0.375, 0.5, 0.4375, 0.4, 0.75, 0.5666666666666667, 0.6666666666666666, 0.5833333333333334, 0.5625, 0.65, 0.6153846153846154, 0.5833333333333334, 0.75]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
naive_bayesian,"[0.5, 0.2777777777777778, 0.35, 0.5, 0.6666666666666666, 0.5714285714285714, 0.5833333333333334, 0.75, 0.5, 0.625, 0.5625, 0.5555555555555556, 0.5625, 0.55, 0.5625, 0.5333333333333333, 0.5, 0.6666666666666666, 0.625, 0.5, 0.6153846153846154, 0.6666666666666666, 0.75]","[0.5, 0.3888888888888889, 0.4, 0.5, 0.6666666666666666, 0.5714285714285714, 0.4166666666666667, 0.375, 0.5, 0.625, 0.4375, 0.5, 0.4375, 0.45, 0.5625, 0.5333333333333333, 0.5, 0.6666666666666666, 0.5, 0.45, 0.5, 0.6666666666666666, 0.75]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
XGBoost,"[0.5, 0.5555555555555556, 0.85, 0.75, 0.4166666666666667, 0.5, 0.5833333333333334, 0.625, 0.5909090909090909, 0.75, 0.5625, 0.6666666666666666, 0.5, 0.4, 0.8125, 0.5333333333333333, 0.8333333333333334, 0.75, 0.375, 0.65, 0.6153846153846154, 0.5833333333333334, 0.625]","[1.0, 0.5555555555555556, 0.8, 0.5, 0.5833333333333334, 0.5714285714285714, 0.6666666666666666, 0.625, 0.6363636363636364, 0.625, 0.4375, 0.4444444444444445, 0.375, 0.4, 0.75, 0.4666666666666667, 0.5, 0.8333333333333334, 0.5625, 0.75, 0.6538461538461539, 0.5833333333333334, 0.625]","['62i9y', '2gu87', 'iz2ps', '1mpau', '7dwjy', '7swyk', '94mnx', 'bd47a', 'c24ur', 'ctsax', 'dkhty', 'e4gay', 'ef5rq', 'f1gjp', 'hpbxa', 'pmyfl', 'r89k1', 'tn4vl', 'td5pr', 'gyqu9', 'fzchw', 'l53hg', '3n2f9']"
