round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,filters,ker_size,loss,lr,lstm_out_size,optimizer,pool_size,strides,weight_regulizer
100,0.37453257993740197,0.83235294,0.7367583835778171,0.65753424,16,0.36,100,8,16,binary_crossentropy,9.01,16,nadam,1,1,None
100,0.5637458611937131,0.7264706,0.6393183469772339,0.6232877,256,0.32,100,8,16,binary_crossentropy,2.08,24,adam,2,2,None
100,0.3486793363795561,0.87058824,0.7441694246579523,0.67808217,64,0.36,100,8,16,binary_crossentropy,1.09,24,adam,2,2,None
100,0.23672885088359608,0.90294117,0.8592783392292179,0.65753424,16,0.24,100,16,8,binary_crossentropy,3.0700000000000003,24,nadam,2,2,None
100,0.3468717543517842,0.85294116,0.8945071468614552,0.5890411,64,0.04,100,16,24,binary_crossentropy,2.08,24,nadam,2,2,None
100,0.2362522453069687,0.9117647,0.7285473738631157,0.6849315,64,0.36,100,24,24,binary_crossentropy,2.08,24,nadam,2,2,None
100,0.3460919075152453,0.86764705,0.6443017353750256,0.67808217,128,0.08,100,16,24,binary_crossentropy,8.020000000000001,8,adam,1,2,None
100,0.39002587655011345,0.84117645,0.8799387074700774,0.6164383,16,0.32,100,16,24,binary_crossentropy,1.09,16,adam,2,2,None
100,0.564599341504714,0.7264706,0.67238859281148,0.5890411,128,0.36,100,8,8,binary_crossentropy,0.1,8,nadam,1,1,None
100,0.39654245131156024,0.83235294,0.7567108616436997,0.6369863,128,0.32,100,24,16,binary_crossentropy,6.04,16,adam,2,2,None
100,0.315398566161885,0.87352943,0.8691878547407177,0.65068495,64,0.2,100,24,8,binary_crossentropy,9.01,16,nadam,2,1,None
100,0.4463749787386726,0.8029412,0.8230165243148804,0.5958904,256,0.36,100,8,24,binary_crossentropy,0.1,24,nadam,2,1,None
100,0.33708080999991474,0.86764705,0.6997892350366671,0.6849315,128,0.0,100,8,24,binary_crossentropy,9.01,16,nadam,1,2,None
100,0.3913918368956622,0.82941175,0.7027148759528382,0.65068495,128,0.16,100,24,16,binary_crossentropy,0.1,8,nadam,1,2,None
100,0.60960552482044,0.65882355,0.676459014415741,0.5958904,256,0.32,100,8,8,binary_crossentropy,4.0600000000000005,16,adam,1,1,None
100,0.5851286397260778,0.7029412,0.6593608260154724,0.6232877,256,0.32,100,16,8,binary_crossentropy,9.01,24,nadam,2,1,None
100,0.39990144932971283,0.83235294,0.6608372330665588,0.6643836,256,0.0,100,24,24,binary_crossentropy,2.08,16,nadam,1,1,None
100,0.34572001800817603,0.85588235,0.7170661369415179,0.6712329,64,0.28,100,8,24,binary_crossentropy,9.01,24,nadam,2,2,None
100,0.2211557232281741,0.90294117,0.7945140347088853,0.6849315,64,0.0,100,24,16,binary_crossentropy,6.04,24,adam,2,2,None
100,0.39415035808787624,0.8235294,0.7149965509976426,0.67808217,64,0.08,100,24,8,binary_crossentropy,3.0700000000000003,16,nadam,1,2,None
100,0.3027481647098766,0.87647057,0.7176089662395112,0.67808217,64,0.0,100,16,8,binary_crossentropy,5.05,16,nadam,2,2,None
100,0.44555661853621986,0.8117647,0.7293958859900905,0.65753424,64,0.16,100,8,16,binary_crossentropy,2.08,8,adam,2,1,None
100,0.3180130231029847,0.87352943,0.8210117388261507,0.6369863,16,0.24,100,16,8,binary_crossentropy,1.09,8,adam,2,2,None
100,0.3270358587012571,0.86764705,0.9619635833452825,0.5753425,16,0.16,100,8,24,binary_crossentropy,2.08,16,adam,1,2,None
100,0.3673753626206342,0.82941175,0.6930944327622244,0.7191781,128,0.28,100,8,24,binary_crossentropy,4.0600000000000005,24,adam,2,2,None
100,0.2986562406315523,0.85588235,0.8263507199614015,0.63013697,16,0.12,100,24,8,binary_crossentropy,5.05,24,adam,1,2,None
100,0.3430106345344992,0.82941175,0.6412954677457678,0.7328767,64,0.24,100,8,16,binary_crossentropy,2.08,24,nadam,2,2,None
100,0.36359239045311426,0.85294116,0.6390479297874725,0.6643836,16,0.36,100,8,24,binary_crossentropy,8.020000000000001,8,adam,1,1,None
100,0.30377948073779837,0.86764705,0.7988610724880271,0.6712329,64,0.0,100,16,8,binary_crossentropy,5.05,24,adam,2,2,None
100,0.46341388015186086,0.7882353,0.5896002617600846,0.739726,128,0.36,100,8,16,binary_crossentropy,5.05,16,adam,1,2,None
100,0.45012781304471633,0.8088235,0.6321888566017151,0.67808217,256,0.08,100,8,16,binary_crossentropy,3.0700000000000003,24,adam,2,2,None
100,0.35830731251660514,0.85588235,0.6752014413271865,0.6849315,64,0.12,100,8,8,binary_crossentropy,7.03,24,nadam,1,2,None
100,0.3229532343499801,0.87058824,0.7342600626488255,0.65753424,64,0.0,100,24,16,binary_crossentropy,4.0600000000000005,16,adam,1,1,None
100,0.3829976951374727,0.82058823,0.7593560972034115,0.6438356,16,0.08,100,8,8,binary_crossentropy,6.04,16,adam,1,1,None
100,0.36279530858292297,0.8352941,0.8666630901702462,0.5753425,16,0.12,100,8,8,binary_crossentropy,6.04,16,nadam,1,1,None
100,0.29225776826634126,0.87941176,0.8663674669518863,0.6164383,16,0.16,100,8,8,binary_crossentropy,0.1,24,adam,2,1,None
100,0.41290978017975305,0.85588235,0.6702879765262343,0.67808217,128,0.24,100,8,24,binary_crossentropy,9.01,8,nadam,2,1,None
100,0.39852735540446116,0.83235294,0.591728781184105,0.7123288,64,0.28,100,24,8,binary_crossentropy,8.020000000000001,8,adam,1,2,None
100,0.4208359936580938,0.81764704,0.8286516407172974,0.60958904,16,0.28,100,8,16,binary_crossentropy,1.09,16,adam,1,1,None
100,0.365771395669264,0.86764705,0.6735525470073909,0.6643836,16,0.2,100,16,24,binary_crossentropy,8.020000000000001,8,nadam,1,1,None
100,0.25641915436614965,0.90294117,0.9222285486247441,0.65068495,16,0.04,100,16,16,binary_crossentropy,1.09,24,adam,1,1,None
100,0.25288436605649833,0.89117646,0.802231685756004,0.67808217,16,0.32,100,16,8,binary_crossentropy,4.0600000000000005,24,nadam,1,2,None
