round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,filters,ker_size,loss,lr,lstm_out_size,optimizer,pool_size,strides,weight_regulizer
100,0.5585465795853559,0.6882353,0.6911533764780384,0.58219177,16,0.12,100,8,8,binary_crossentropy,2.08,16,nadam,1,2,None
100,0.6153383514460395,0.62058824,0.7841457218339999,0.49315068,64,0.36,100,8,24,binary_crossentropy,8.020000000000001,8,adam,1,2,None
100,0.5398435199961943,0.7176471,0.6644912396800028,0.6232877,16,0.08,100,24,16,binary_crossentropy,5.05,16,nadam,2,2,None
100,0.6137199633261736,0.65294117,0.7082986447909106,0.56164384,64,0.08,100,8,8,binary_crossentropy,3.0700000000000003,16,nadam,1,2,None
100,0.6453247701420504,0.59411764,0.6766828249578607,0.5958904,64,0.08,100,24,8,binary_crossentropy,7.03,16,adam,2,2,None
100,0.6552855723044452,0.59705883,0.6894021034240723,0.53424656,256,0.32,100,8,24,binary_crossentropy,3.0700000000000003,24,nadam,2,1,None
100,0.6804196483948651,0.5294118,0.6917201819485181,0.51369864,128,0.04,100,24,24,binary_crossentropy,2.08,24,nadam,1,2,None
100,0.5371370806413538,0.7,0.7137692962607293,0.5890411,64,0.24,100,16,8,binary_crossentropy,7.03,16,adam,2,1,None
100,0.5994169298340293,0.65882355,0.6959645519517872,0.60273975,16,0.08,100,24,8,binary_crossentropy,2.08,8,nadam,2,2,None
100,0.5239577854380888,0.7441176,0.6503793058330065,0.6369863,128,0.08,100,24,24,binary_crossentropy,5.05,24,adam,2,2,None
100,0.6776417297475478,0.5382353,0.6897861802414672,0.53424656,16,0.36,100,24,16,binary_crossentropy,4.0600000000000005,8,adam,1,2,None
100,0.569603912970599,0.6970588,0.7060948226549854,0.5958904,64,0.04,100,16,8,binary_crossentropy,7.03,8,adam,1,1,None
100,0.6231231310788323,0.69411767,0.6810192245326631,0.56164384,128,0.08,100,16,8,binary_crossentropy,7.03,8,nadam,2,2,None
100,0.5285336031633265,0.7411765,0.7043057206558855,0.5890411,64,0.12,100,8,8,binary_crossentropy,4.0600000000000005,24,adam,2,1,None
100,0.4716153397279627,0.7794118,0.7817281639739259,0.5753425,128,0.32,100,16,24,binary_crossentropy,8.020000000000001,24,adam,1,2,None
100,0.6449943325098824,0.5882353,0.7225831248988844,0.51369864,64,0.28,100,8,16,binary_crossentropy,8.020000000000001,24,nadam,2,2,None
100,0.6456136668429655,0.59411764,0.6916815965142968,0.53424656,128,0.08,100,16,8,binary_crossentropy,6.04,16,nadam,2,2,None
100,0.6323760011616875,0.62647057,0.7360226511955261,0.5068493,256,0.32,100,8,24,binary_crossentropy,4.0600000000000005,16,adam,2,2,None
100,0.5496005549150355,0.7205882,0.7579013109207153,0.56164384,256,0.32,100,8,24,binary_crossentropy,4.0600000000000005,16,adam,2,1,None
100,0.6109592451768763,0.6911765,0.6779756554185528,0.5958904,64,0.24,100,8,24,binary_crossentropy,8.020000000000001,8,adam,2,1,None
