round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,filters,ker_size,loss,lr,lstm_out_size,optimizer,pool_size,strides,weight_regulizer
100,0.35040919675546534,0.85,0.652399869814311,0.6849315,64,0.24,100,8,16,binary_crossentropy,5.05,16,adam,1,2,None
100,0.5031013348523308,0.7676471,0.6936572790145874,0.5958904,256,0.28,100,24,8,binary_crossentropy,8.020000000000001,8,nadam,2,1,None
100,0.2845991048742743,0.90588236,0.8096495752465235,0.67808217,16,0.04,100,24,8,binary_crossentropy,2.08,16,adam,1,2,None
100,0.4602825971210704,0.7764706,0.68884218473957,0.60958904,128,0.04,100,24,16,binary_crossentropy,8.020000000000001,16,nadam,1,1,None
100,0.24031162235666723,0.90294117,0.886939870168085,0.6917808,16,0.28,100,24,24,binary_crossentropy,0.1,16,nadam,2,2,None
100,0.4291317242033341,0.7911765,0.6693483150168641,0.6643836,64,0.16,100,24,8,binary_crossentropy,9.01,16,adam,1,2,None
100,0.4142814552082735,0.82941175,0.6673492674958216,0.69863015,128,0.32,100,16,24,binary_crossentropy,6.04,24,adam,2,1,None
100,0.5401922807973973,0.7441176,0.6423946504723536,0.65753424,128,0.32,100,8,16,binary_crossentropy,3.0700000000000003,8,nadam,1,2,None
100,0.43087109081885394,0.8088235,0.6884949264461047,0.6917808,64,0.28,100,16,8,binary_crossentropy,6.04,16,nadam,1,2,None
100,0.37779598446453316,0.84411764,0.790533757475141,0.65753424,16,0.36,100,8,24,binary_crossentropy,8.020000000000001,16,adam,2,1,None
100,0.3217502657104941,0.87352943,0.6578196948521757,0.6849315,64,0.0,100,24,24,binary_crossentropy,7.03,8,adam,2,2,None
100,0.2940836573348326,0.89117646,0.7508012040020668,0.6712329,64,0.08,100,16,24,binary_crossentropy,3.0700000000000003,24,nadam,2,2,None
100,0.5524102610700271,0.7205882,0.6518882513046265,0.6232877,256,0.08,100,8,8,binary_crossentropy,0.1,24,adam,2,1,None
100,0.21755260303616525,0.90882355,0.7521016908018556,0.7123288,16,0.0,100,16,16,binary_crossentropy,8.020000000000001,24,nadam,1,1,None
100,0.2821831175509621,0.9,0.7703308961162828,0.6643836,16,0.04,100,8,24,binary_crossentropy,2.08,8,adam,1,2,None
