dataset used,classifier,feature used,min,max,median,mean
all,naive_bayesian,combined br hb,0.375,0.9,0.5666666666666667,0.6113331202046035
all,naive_bayesian,undercomplete,0.3235294117647059,0.5882352941176471,0.47058823529411764,0.46662404092071613
all,naive_bayesian,sparse,0.4375,0.7222222222222222,0.5625,0.558782679738562
all,naive_bayesian,deep,0.38235294117647056,0.6666666666666666,0.5294117647058824,0.5307171781756181
all,naive_bayesian,contractive,0.4666666666666667,0.7916666666666666,0.5882352941176471,0.5865551292980961
all,random_forest,phase,0.53125,0.8235294117647058,0.6470588235294118,0.6566940181869849
all,random_forest,breathing,0.46875,0.9,0.7,0.6994884910485932
all,random_forest,heartbeat,0.35294117647058826,0.625,0.5277777777777778,0.50625
all,random_forest,combined br hb,0.40625,0.8888888888888888,0.6764705882352942,0.6859104148905939
all,random_forest,undercomplete,0.4722222222222222,0.8333333333333334,0.5666666666666667,0.5960890878090366
all,random_forest,sparse,0.4666666666666667,0.9166666666666666,0.6764705882352942,0.6367558255186132
all,random_forest,deep,0.40625,0.7666666666666667,0.59375,0.5965117931230463
all,random_forest,contractive,0.4666666666666667,0.8529411764705882,0.6176470588235294,0.6336565785734584
all,simple_dense,phase,0.4000000059604645,0.8529411554336548,0.6176470518112183,0.5995293466941171
all,simple_dense,breathing,0.46666666865348816,0.8666666746139526,0.6875,0.6756269504194674
all,simple_dense,heartbeat,0.3888888955116272,0.75,0.5588235259056091,0.5431106168290843
all,simple_dense,combined br hb,0.3125,0.90625,0.625,0.6558770278225774
all,simple_dense,undercomplete,0.4375,0.7777777910232544,0.59375,0.6074417466702668
all,simple_dense,sparse,0.3333333432674408,0.8125,0.6470588445663452,0.6439986526966095
all,simple_dense,deep,0.4000000059604645,0.78125,0.5555555820465088,0.5660290653290956
all,simple_dense,contractive,0.46875,0.84375,0.65625,0.6422794108695653
