round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,enc_activation,enc_dim,epochs,last_activation,loss,lr,optimizer,weight_regulizer
100,0.0807614266872406,0.0,0.0856791471373545,0.0,128,0.16,sigmoid,64,100,sigmoid,mse,9.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,3.3501091340008906,0.0010077519,3.2528490203700655,0.0014229584,128,0.0,relu,32,100,softmax,binary_crossentropy,9.01,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.6365498549797955,0.0011308709,0.6261926293373108,0.001476054,256,0.32,sigmoid,16,100,sigmoid,binary_crossentropy,1.09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.29180945543681874,0.0,0.2875295579433441,0.0,256,0.12,relu,32,100,softmax,mse,1.09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,3.350181282267851,0.0010077519,3.252888320243522,0.0014229586,16,0.08,relu,64,100,softmax,binary_crossentropy,8.020000000000001,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.6933912165024702,0.0010647516,0.6912714977786966,0.0014601254,128,0.12,sigmoid,32,100,sigmoid,binary_crossentropy,9.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,3.350112264296588,0.0010077519,3.2528774738311768,0.0014229587,256,0.16,relu,32,100,softmax,binary_crossentropy,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.29169750704484826,0.005882353,0.28741986375965484,0.0,128,0.36,sigmoid,64,100,softmax,mse,6.04,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,3.333231777303359,0.0010077519,3.2442506437432277,0.0014229586,16,0.04,sigmoid,64,100,softmax,binary_crossentropy,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,3.3369297055637137,0.0010077519,3.2484505797085697,0.0014229584,16,0.32,sigmoid,64,100,softmax,binary_crossentropy,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,3.3355365528779872,0.0010077519,3.2432721575645553,0.0014229584,64,0.28,sigmoid,32,100,softmax,binary_crossentropy,1.09,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.6785224900526159,0.0010077519,0.6849571678736438,0.0013645535,128,0.04,sigmoid,16,100,sigmoid,binary_crossentropy,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.29182290399775784,0.0,0.2875346541404724,0.006849315,256,0.08,sigmoid,16,100,softmax,mse,6.04,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.017643611220752493,0.0,0.024798372122522904,0.0,64,0.08,sigmoid,16,100,sigmoid,mse,6.04,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.07388452580746482,0.0029411765,0.08225411865605067,0.0,16,0.36,relu,128,100,sigmoid,mse,7.03,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.6909400315845714,0.0010077519,0.6892474416184099,0.0014229584,128,0.2,relu,16,100,sigmoid,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.29175083777483773,0.00882353,0.28745672229218155,0.0,128,0.32,sigmoid,64,100,softmax,mse,1.09,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,3.3413190841674805,0.001007752,3.245729446411133,0.0014229584,16,0.28,sigmoid,32,100,softmax,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.6910297484958873,0.0010077519,0.6892360677457836,0.0014229586,16,0.32,relu,16,100,sigmoid,binary_crossentropy,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.291769034021041,0.005882353,0.28747771088391133,0.006849315,64,0.0,sigmoid,32,100,softmax,mse,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.05752010906443877,0.0,0.06631423583994173,0.006849315,128,0.16,relu,16,100,sigmoid,mse,0.1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.6007831973188064,0.0010807115,0.5920887017903262,0.0015132207,128,0.04,sigmoid,16,100,sigmoid,binary_crossentropy,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.29170438682331756,0.0029411765,0.2874215755560627,0.0,128,0.08,sigmoid,64,100,softmax,mse,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.29182369007783776,0.0,0.28753533959388733,0.006849315,256,0.12,sigmoid,64,100,softmax,mse,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.29165253341197966,0.011764706,0.28740017422258035,0.0,64,0.08,relu,128,100,softmax,mse,2.08,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
